(126) Asset Exchange Post L1 Receive L1 (§.33(f)(2)(ii)),
Field,Value
Reporting Entity,LCR Firm
PID,I.S.4
Product,Matches PID
Sub‐Product,Level 1 HQLA
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Effective Maturity Bucket,<= 30 calendar days or NULL but not Open
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,Level 1 HQLA
Collateral Value,#
Unencumbered,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
Settlement,#
