"(93) Unsecured lending maturing in < 1 year, encumbered for ≥ 6 months, but < 1 year",
(§.106(c)(1)(ii)),
,
Field,Value
Reporting Entity,NSFR Entity
PID,"I.U.1, 2, 4, 5, 6, 8"
Product,Matches PID
Counterparty,#
G-SIB,#
Maturity Amount,*
Maturity Bucket,< 1 Year
Maturity Optionality,#
Effective Maturity Bucket,"≥ 6 Months, < 1 Year"
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Forward Start Amount,NULL
Forward Start Bucket,NULL
Internal,#
Internal Counterparty,#
