(84) Secured but Lower Unsecured Rate (§.32(j)(2)),
Field,Value
Reporting Entity,LCR Firm
PID,O.D.7 (only collateralized deposits)
Product,Matches PID
Counterparty,"Non‐Financial Corporate, PSE, Other
Supranational, Pension Fund, Bank, Broker‐Dealer,
Investment Company or Advisor, Financial Market
Utility, Other Supervised Non‐Bank Financial
Entity, Non‐Regulated Fund, Debt Issuing SPE,
Other"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Collateral Class,Level 2B or Non‐HQLA
Collateral Value,#
Insured,#
Trigger,#
