"(9) Asset Exchange Unwind (Subpart C, §.21)",
Field,Value
Reporting Entity,LCR Firm
PID,I.S.4
Product,#
Sub‐Product,"Level 1 HQLA, Level 2A HQLA, and Level 2B HQLA"
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Effective Maturity Bucket,"NULL or <= 30 calendar days, not Open"
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,HQLA
Collateral Value,*
Unencumbered,"Y if Effective Maturity Bucket is NULL, otherwise
#"
Treasury Control,Y
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
Settlement,#
