"(7) Secured Lending Unwind (Subpart C, §.21)",
Field,Value
Reporting Entity,LCR Firm
PID,"I.S.1, 2, 3, 5, and 6"
Product,Matches PID
Sub‐Product,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Effective Maturity Bucket,"NULL or <= 30 calendar days, but not Open"
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,HQLA
Collateral Value,*
Unencumbered,"Y if Effective Maturity Bucket is NULL, otherwise
#"
Treasury Control,Y
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
Settlement,#
Counterparty,#
G‐SIB,#
