(105) Retail Cash Inflow Amount (§.33(c)),
Field,Value
Reporting Entity,LCR Firm
PID,"I.S.1, 2, 5, 6, 7 and 8"
Product,Matches PID
Sub‐Product,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days but not Open
Maturity Optionality,#
Effective Maturity Bucket,#
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,#
Collateral Value,#
Unencumbered,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
Settlement,#
Counterparty,Retail or Small Business
G‐SIB,#
