(72) Retail mortgages with ≤ 50% risk weight maturing in ≥ 1 year (§.106(a)(5)(i)),
Field,Value
Reporting Entity,NSFR Entity
PID,I.S.8
Product,Matches PID
Sub-Product,#
Counterparty,"Retail, Small Business"
G-SIB,#
Maturity Amount,*
Maturity Bucket,≥ 1 Year
Maturity Optionality,#
Effective Maturity Bucket,< 1 Year or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,P-1
Collateral Value,#
Unencumbered,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Risk Weight,≤ 0.5
Business Line,#
Settlement,#
