(53) Financial Non-Operational (§.32(h)(2)),
Field,Value
Reporting Entity,LCR Firm
PID,"O.D.5, 6, 8‐11 and 13"
Product,Matches PID
Counterparty,"Pension Fund, Bank, Broker‐Dealer, Investment
Company or Advisor, Financial Market Utility,
Other Supervised Non‐Bank Financial Entity, Non‐
Regulated Fund"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Collateral Class,NULL or Other
Collateral Value,NULL
Insured,#
Trigger,#
Rehypothecated,#
Business Line,#
Internal,#
Internal Counterparty,#
