"(3) Wholesale debt instruments maturing in ≥ 1 year, excluding deposits and securities financing",
transactions (§.104(a)(2)),
,
Field,Value
Reporting Entity,NSFR Entity
PID,"O.W.1 – 13, 16, 17, 19"
Product,Matches PID
Counterparty,Not Retail or Small Business
G-SIB,#
Maturity Amount,*
Maturity Bucket,≥ 1 Year
Maturity Optionality,#
Collateral Class,#
Collateral Value,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Internal,#
Internal Counterparty,#
Loss Absorbency,Not Capital
Business Line,#
