"(2) Rehypothecatable Collateral (Subpart C, §.20-.22)",
Field,Value
Reporting Entity,LCR Firm
PID,"I.S.1, 2, 3, 4, 5, and 6"
Product,Matches PID
Sub‐Product,#
Maturity Amount,#
Maturity Bucket,#
Maturity Optionality,#
Effective Maturity Bucket,NULL
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,HQLA (except A‐0‐Q)
Collateral Value,*
Unencumbered,Y
Treasury Control,Y
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
Settlement,#
Counterparty,#
G‐SIB,#
