(100) Other assets encumbered for ≥ 1 year (§.106(c)(1)(iii)),
Field,Value
Reporting Entity,NSFR Entity
Collection Reference,#
PID,S.B.4
Product,Matches PID
Sub-Product,#
Product Reference,#
Sub-Product Reference,#
Collateral Class,#
Maturity Bucket,#
Effective Maturity Bucket,≥ 1 Year
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Market Value,#
Maturity Amount,*
Collateral Value,#
Counterparty,#
G-SIB,#
Risk Weight,#
Internal,#
Internal Counterparty,#
