,(18) O.W. PIDs for item 3.c,
Field,,Value
Reporting Entity,,FR Y‐15 Firm
PID,,O.W.8‐19
Product,,Matches PID
Counterparty,,"For O.W.8, 11‐16: #; For O.W.9, 10, 17, 18, 19:
Pension Fund, Bank, Broker‐Dealer, Investment
Company or Advisor, Financial Market Utility,
Other Supervised Non‐Bank Financial Entity,
Non‐Regulated Fund, or NULL"
G‐SIB,,#
Maturity Amount,,*
Maturity Bucket,,"Column A: <=30 days
Column B: 31 to 90 days
Column C: 91 to 180 days
Column D: 181 days to 1 yr"
Maturity Optionality,,#
Collateral Class,,NULL
Collateral Value,,NULL
Forward Start Amount,,NULL
Forward Start Bucket,,NULL
Internal,,#
Internal Counterparty,,#
Loss Absorbency,,#
Business Line,,#
