(51) Not Fully Insured Unsecured Wholesale Non-Operational Non-Financial (§.32(h)(1)(ii)(A)),
Field,Value
Reporting Entity,LCR Firm
PID,"O.S.1, 2, 3, 5, 6, 7, 11"
Product,Matches PID
Counterparty,"Non‐Financial Corporate, Sovereign, Central
Bank, GSE, PSE, MDB, Other Supranational, Debt
Issuing SPE, Other"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Collateral Class,Other
Collateral Value,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Internal,#
Internal Counterparty,#
Loss Absorbency,#
Business Line,#
