(70) Secured Funding from Governmental Entities not L1 or L2A (§.32(j)(1)(iii)),
Field,Value
Reporting Entity,LCR Firm
PID,"O.D.4, 5 and 6 (if not FDIC insured) and 7"
Product,Matches PID
Counterparty,"Sovereign, Central Bank (FRB and other central
banks where the sovereign has not established its
own outflow rate), GSE, or MDB"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Collateral Class,Level 2B HQLA or Non‐HQLA
Collateral Value,"To the extent the Collateral Value is less than the
Maturity Amount, treat the Maturity Amount less
the Collateral Value amount as unsecured
wholesale funding under .32(h)"
Insured,"Not FDIC for O.D.4‐6, # for O.D.7"
Trigger,#
Rehypothecated,#
Business Line,#
Internal,#
Internal Counterparty,#
