(125) Asset Exchange Collateral Rehypothecated and Not Returning within 30 days (§.33(f)(2)(i)),
Field,Value
Reporting Entity,LCR Firm
PID,I.S.4
Product,Matches PID
Sub‐Product,*
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Effective Maturity Bucket,> 30 calendar days or Open
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,#
Collateral Value,#
Unencumbered,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
Settlement,#
Counterparty,#
G‐SIB,#
