(79) Secured non-financial wholesale and central bank loans with > 20% risk weight maturing in,
≥ 1 year (§.106(a)(6)(ii)),
,
Field,Value
Reporting Entity,NSFR Entity
PID,I.S.8
Product,Matches PID
Sub-Product,#
Counterparty,"Non-Financial Wholesale Entity, Central Bank"
G-SIB,#
Maturity Amount,*
Maturity Bucket,≥ 1 Year
Maturity Optionality,#
Effective Maturity Bucket,< 1 Year or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,#
Collateral Value,#
Unencumbered,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Risk Weight,> 0.2
Business Line,#
Settlement,#
