(93) Asset Exchange Post L2B Receive Non-HQLA (§.32(j)(3)(ix)),
Field,Value
Reporting Entity,LCR Firm
PID,I.S.4
Product,Matches PID
Sub‐Product,Non‐HQLA or No Collateral Pledged
Maturity Amount,#
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Effective Maturity Bucket,NULL or <= 30 calendar days but not open
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,Level 2B HQLA
Collateral Value,*
Unencumbered,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Business Line,#
Settlement,#
Counterparty,#
G‐SIB,#
