"(94) Operational deposits placed, encumbered for ≥ 6 months, but < 1 year (§.106(c)(1)(ii))",
Field,Value
Reporting Entity,NSFR Entity
PID,I.U.3
Product,Matches PID
Counterparty,Financial Sector Entity
G-SIB,#
Maturity Amount,*
Maturity Bucket,#
Maturity Optionality,#
Effective Maturity Bucket,"≥ 6 Months, < 1 Year"
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Forward Start Amount,NULL
Forward Start Bucket,NULL
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
