"(63) Secured lending to financials and central banks, maturing in",
"≥ 6 months, but < 1 year (§.106(a)(4)(ii))",
,
Field,Value
Reporting Entity,NSFR Entity
PID,"I.S.1, 2, 3, 5, 6, 7, 8"
Product,Matches PID
Sub-Product,#
Counterparty,"Financial Sector Entity, Central Bank"
G-SIB,#
Maturity Amount,*
Maturity Bucket,"≥ 6 Months, < 1 Year"
Maturity Optionality,#
Effective Maturity Bucket,< 6 Months or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Forward Start Amount,NULL
