(110) Non-Financial Wholesale Cash Inflow Amount (§.33(d)(2)),
Field,Value
Reporting Entity,LCR Firm
PID,"I.S.1, 2, 3, 5, 6, 7 and 8"
Product,Matches PID
Sub‐Product,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Effective Maturity Bucket,#
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,Other
Collateral Value,#
Unencumbered,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
Settlement,#
Counterparty,"Non‐Financial Corporate, Sovereign, GSE, PSE,
MDB, Other Supranational, Debt Issuing SPE,
Other"
G‐SIB,#
