(109) Non-Financial Wholesale Cash Inflow Amount (§.33(d)(2)),
Field,Value
Reporting Entity,LCR Firm
PID,"I.U.1, 2, and 6"
Product,Matches PID
Counterparty,"Non‐Financial Corporate, Sovereign, GSE, PSE,
MDB, Other Supranational, Debt Issuing SPE,
Other"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Effective Maturity Bucket,#
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
