(5) Wholesale securities financing transactions maturing in ≥ 1 year (§.104(a)(2)),
Field,Value
Reporting Entity,NSFR Entity
PID,"O.S.1, 2, 3, 5, 6, 11"
Product,Matches PID
Sub-Product,Not FRFF
Counterparty,Not Retail or Small Business
G-SIB,#
Maturity Amount,*
Maturity Bucket,≥ 1 Year
Maturity Optionality,#
Collateral Class,#
Collateral Value,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Treasury Control,#
Internal,#
Internal Counterparty,#
Settlement,#
Rehypothecated,#
Business Line,#
