(106) Financial and Central Bank Cash Inflow Amount (§.33(d)(1)),
Field,Value
Reporting Entity,LCR Firm
PID,"I.U.1, 2, 4, 5, 6 and 8"
Product,Matches PID
Counterparty,"Pension Fund, Bank, Broker‐Dealer, Investment
Company or Advisor, Financial Market Utility,
Other Supervised Non‐Bank Financial Entity, Non‐
Regulated Fund, Central Bank"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Effective Maturity Bucket,#
Encumbrance Type,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
