(85) Secured lending to financial sector entities maturing in ≥ 1 year (§.106(a)(7)),
Field,Value
Reporting Entity,NSFR Entity
PID,"I.S.1, 2, 3, 5, 6, 7, 8"
Product,Matches PID
Sub-Product,#
Counterparty,Financial Sector Entity
G-SIB,#
Maturity Amount,*
Maturity Bucket,≥ 1 Year
Maturity Optionality,#
Effective Maturity Bucket,< 1 Year or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,#
Collateral Value,#
Unencumbered,#
Treasury Control,#
Internal,#
