(87) Physical property and other assets (§.106(a)(7)),
Field,Value
Reporting Entity,NSFR Entity
PID,"I.A.1, 2, 5, 7"
Product,Matches PID
Sub-Product,#
Market Value,*
Lendable Value,#
Maturity Bucket,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,"P-1, P-2, Z-1"
Treasury Control,#
Accounting Designation,#
Effective Maturity Bucket,< 1 Year or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Internal Counterparty,#
