(54) Financial Non-Operational (§.32(h)(2)),
Field,Value
Reporting Entity,LCR Firm
PID,"O.W.9, 10, 17, and 18"
Product,Matches PID
Counterparty,"Pension Fund, Bank, Broker‐Dealer, Investment
Company or Advisor, Financial Market Utility,
Other Supervised Non‐Bank Financial Entity, Non‐
Regulated Fund"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Collateral Class,#
Collateral Value,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Internal,#
Internal Counterparty,#
Business Line,#
