(76) Customer Shorts Funded by Non-HQLA Customer Longs (§.32(j)(1)(v)),
Field,Value
Reporting Entity,LCR Firm
PID,O.S.7
Product,Matches PID
Sub‐Product,Customer Long
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,Non‐HQLA
Collateral Value,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Business Line,#
Settlement,#
Rehypothecated,#
Counterparty,"Non‐Financial Corporate, PSE, Other
Supranational, Pension Fund, Bank, Broker‐
Dealer, Investment Company or Advisor,
Financial Market Utility, Other Supervised Non‐
Bank Financial Entity, Non‐Regulated Fund, Debt
Issuing SPE, Other"
G‐SIB,#
