(52) Unsecured Wholesale Brokered Deposit Non-Operational Non-Financial (§.32(h)(1)(ii)(B)),
Field,Value
Reporting Entity,LCR Firm
PID,"O.D.8 – 11, 13"
Product,Matches PID
Counterparty,"Non‐Financial Corporate, Sovereign, Central
Bank, GSE, PSE, MDB, Other Supranational, Debt
Issuing SPE, Other"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Collateral Class,NULL or Other
Collateral Value,NULL
Insured,#
Trigger,#
Rehypothecated,#
Business Line,#
Internal,#
Internal Counterparty,#
