(28) Non-Bank and Non-SPE Financial Sector Entity Liquidity Facilities (§.32(e)(1)(vii)),
Field,Value
Reporting Entity,LCR Firm
PID,O.O.5 and 18
Product,Matches PID
Counterparty,"Pension Fund, Broker‐Dealer, Investment
Company or Advisor, Financial Market Utility,
Other Supervised Non‐Bank Financial Entity, Non‐
Regulated Fund"
G‐SIB,#
Maturity Amount,*
Maturity Bucket,<= 30 calendar days for O.O.5; # for O.O.18
Forward Start Amount,#
Forward Start Bucket,#
Collateral Class,*
Collateral Value,*
Internal,#
Internal Counterparty,#
Business Line,#
