(58) Other level 2A HQLA securities (§.106(a)(3)(i)),
Field,Value
Reporting Entity,NSFR Entity
PID,"I.A.1, 2, 5, 7"
Product,Matches PID
Sub-Product,#
Market Value,*
Lendable Value,#
Maturity Bucket,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,"Level 2A HQLA, but Not CB-3-Q"
Treasury Control,#
Accounting Designation,#
Effective Maturity Bucket,< 6 Months or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Internal Counterparty,#
