(82) Secured but Lower Unsecured Rate (§.32(j)(2)),
Field,Value
Reporting Entity,LCR Firm
PID,"O.S.1, 2, 3, 5, 7 and 11"
Product,Matches PID
Sub‐Product,"For O.S.7 must be firm long, otherwise #"
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,Level 2B HQLA or Non‐HQLA
Collateral Value,#
Treasury Control,#
Internal,#
Internal Counterparty,#
Business Line,#
Settlement,#
Rehypothecated,N
Counterparty,"Non‐Financial Corporate, PSE, Other
Supranational, Debt Issuing SPE, Other"
G‐SIB,#
