(52) Level 1 HQLA central bank securities (§.106(a)(1)(iii) & (iv)),
Field,Value
Reporting Entity,NSFR Entity
PID,"I.A.1, 2, 3, 4, 5, 7"
Product,Matches PID
Sub-Product,"For I.A.3 and 4, Not Currency and Coin"
Market Value,*
Lendable Value,#
Maturity Bucket,≥ 6 Months
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,"CB-1-Q, CB-2-Q"
Treasury Control,#
Accounting Designation,#
Effective Maturity Bucket,< 6 Months or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Internal Counterparty,#
