Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,BoFA,2026-01-05,I.A.1,JPY,N,SP-3,18371.431,13620.073,Day 38,0.0,,S-6-Q,N,Held-to-Maturity,271 - 364 Days,Securities Lending,ENTITY-02,Commercial Banking,2026-02-12,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-01-05,I.A.2,CNY,N,SP-6,35965.476,43790.627,75 - 82 Days,35529.888,Day 6,A-2,N,Trading Asset,121 - 150 Days,Derivatives,ENTITY-20,Commercial Banking,2026-03-21,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-01-05,I.A.3,USD,Y,SP-8,13096.027,291.25,Day 2,22883.007,Day 9,A-1-Q,N,Trading Asset,Day 90,FHLB,ENTITY-08,Markets,2026-01-07,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-01-05,I.A.4,USD,Y,SP-7,2407.457,28473.83,Day 15,0.0,,E-2,Y,Trading Asset,>3 Yr <= 4 Yr,Central Bank,ENTITY-02,Retail Banking,2026-01-20,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-01-05,I.A.5,USD,Y,SP-8,36687.763,34258.184,Day 8,0.0,,G-3,Y,Not Applicable,>4 Yr <= 5 Yr,Securities Lending,ENTITY-18,Markets,2026-01-13,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-01-05,I.A.6,USD,Y,SP-2,17184.324,8814.181,Day 10,22688.599,Day 21,G-3-Q,N,Available-for-Sale,Day 90,Derivatives,ENTITY-12,Commercial Banking,2026-01-15,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-01-05,I.A.7,GBP,N,SP-8,1570.196,34299.53,>= 1 Yr <= 2 Yr,0.0,,CB-1-Q,N,Not Applicable,Perpetual,Other,ENTITY-07,Commercial Banking,2027-03-07,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-01-05,I.U.1,CAD,N,,,,>5 Yr,0.0,,,,,271 - 364 Days,FHLB,ENTITY-08,Treasury,2033-08-22,Pension Fund,N,23906.727,NULL,Y,58.3,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-01-05,I.U.2,USD,Y,,,,Day 22,0.0,,,,,91 - 120 Days,NULL,ENTITY-08,Markets,2026-01-27,Small Business,Y,35186.591,Extendable,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-01-05,I.U.3,USD,Y,,,,Day 50,0.0,,,,,>2 Yr <= 3 Yr,Central Bank,ENTITY-07,Retail Banking,2026-02-24,Pension Fund,N,528.993,Puttable,Y,50.0,,,,,,,,,,,,,,,,,,
