Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,USWest,2026-03-01,I.A.1,USD,Y,SP-7,5628988000000.0,727431500000.0,Day 14,0.0,,CB-1-Q,N,Not Applicable,>3 Yr <= 4 Yr,Other,ENTITY-11,Commercial Banking,2026-03-15,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-01,I.A.2,USD,Y,SP-2,6750038500000.0,7885711500000.0,Day 37,0.0,,S-1-Q,N,Not Applicable,121 - 150 Days,Repo,ENTITY-05,Commercial Banking,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-01,I.A.3,USD,Y,SP-6,9237852500000.0,11771954000000.0,Day 58,0.0,,S-4-Q,Y,Not Applicable,>5 Yr,Other,ENTITY-12,Markets,2026-04-28,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-01,I.A.4,USD,N,SP-6,14086958500000.0,10113279000000.0,Day 46,8503262000000.001,Open,S-7,Y,Not Applicable,Day 1,Central Bank,ENTITY-20,Prime Brokerage,2026-04-16,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-01,I.A.5,EUR,N,SP-2,168481000000.0,6847809500000.0,151 - 179 Days,0.0,,A-3-Q,N,Not Applicable,180 - 270 Days,NULL,ENTITY-17,Markets,2026-08-09,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-01,I.A.6,CNY,N,SP-7,10077160500000.0,13677626000000.0,Day 57,0.0,,S-3-Q,Y,Held-to-Maturity,Day 30,Derivatives,ENTITY-13,Wealth Management,2026-04-27,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-01,I.A.7,USD,Y,SP-5,18642976500000.0,12578992000000.0,Day 46,0.0,,G-3,N,Available-for-Sale,180 - 270 Days,Other,ENTITY-14,Wealth Management,2026-04-16,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-01,I.U.1,JPY,N,,,,Day 41,3948.56,Day 18,,,,Day 90,NULL,,Prime Brokerage,2026-04-11,Non-Regulated Fund,Y,15955.256,Extendable,N,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-01,I.U.2,USD,Y,,,,Day 2,0.0,,,,,Day 60,NULL,ENTITY-10,Wealth Management,2026-03-03,Central Bank,Y,9397.745,NULL,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-01,I.U.3,SGD,N,,,,Day 26,0.0,,,,,121 - 150 Days,NULL,ENTITY-06,Commercial Banking,2026-03-27,Pension Fund,Y,1709.384,NULL,Y,872.5,,,,,,,,,,,,,,,,,,
