Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-05,I.A.1,USD,Y,SP-9,25204.339,28366.895,Day 23,0.0,,S-6-Q,N,Trading Asset,Day 60,Central Bank,ENTITY-18,Prime Brokerage,2026-04-28,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-05,I.A.2,USD,Y,SP-1,28468.969,40234.34,Day 56,0.0,,A-4-Q,Y,Available-for-Sale,121 - 150 Days,NULL,ENTITY-20,Prime Brokerage,2026-05-31,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-05,I.A.3,USD,N,SP-8,31534.64,15592.782,Day 18,20864.668,Day 30,IG-2,N,Not Applicable,>4 Yr <= 5 Yr,Derivatives,ENTITY-09,Wealth Management,2026-04-23,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-05,I.A.4,EUR,N,SP-8,27426.215,33671.265,Day 59,0.0,,CB-2-Q,Y,Available-for-Sale,>2 Yr <= 3 Yr,Other,ENTITY-06,Retail Banking,2026-06-03,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-05,I.A.5,SGD,N,SP-6,31453.892,41264.724,Day 19,0.0,,IG-1-Q,N,Held-to-Maturity,180 - 270 Days,Repo,ENTITY-13,Prime Brokerage,2026-04-24,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-05,I.A.6,USD,Y,SP-1,41510.493,7366.847,Day 60,0.0,,IG-1,Y,Trading Asset,180 - 270 Days,Central Bank,ENTITY-06,Prime Brokerage,2026-06-04,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-05,I.A.7,CNY,N,SP-6,32737.021,28035.593,Day 31,38190.526,Day 24,G-2-Q,Y,Trading Asset,180 - 270 Days,Central Bank,ENTITY-18,Treasury,2026-05-06,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-05,I.U.1,USD,Y,,,,121 - 150 Days,0.0,,,,,180 - 270 Days,NULL,ENTITY-19,Treasury,2026-08-06,PSE,N,23436.63,Extendable,Y,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-05,I.U.2,AUD,N,,,,Day 23,0.0,,,,,Day 90,Other,ENTITY-12,Prime Brokerage,2026-04-28,Central Bank,N,8516.396,Callable,Y,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-05,I.U.3,AUD,N,,,,271 - 364 Days,18373.478,Day 46,,,,Day 30,Securities Lending,ENTITY-14,Retail Banking,2027-01-19,Non-Financial Corporate,N,8495.941,Callable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-05,I.U.4,USD,N,,,,180 - 270 Days,0.0,,,,,Day 60,Central Bank,ENTITY-16,Commercial Banking,2026-11-11,Central Bank,N,4180.948,Extendable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-05,I.U.5,JPY,N,,,,Perpetual,0.0,,,,,151 - 179 Days,Central Bank,ENTITY-11,Retail Banking,,Non-Financial Corporate,N,10893.651,Extendable,Y,278.95,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-05,I.U.6,USD,Y,,,,271 - 364 Days,10990.624,Day 21,,,,180 - 270 Days,NULL,,Markets,2027-03-03,Bank,Y,15150.811,Extendable,N,53.26,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-05,I.U.7,USD,Y,,,,Day 42,11895.317,Day 20,,,,>3 Yr <= 4 Yr,Derivatives,,Wealth Management,2026-05-17,Small Business,N,22939.347,Puttable,N,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-05,I.U.8,USD,Y,,,,Day 42,0.0,,,,,>5 Yr,Repo,,Treasury,2026-05-17,Bank,Y,6585.734,NULL,N,0.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.1,USD,Y,SP-2,,,Day 48,0.0,,G-2-Q,Y,,Perpetual,FHLB,ENTITY-10,Commercial Banking,2026-05-23,Investment Company or Advisor,N,7603.217,Extendable,Y,100.0,35951.832,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.2,USD,Y,SP-2,,,151 - 179 Days,0.0,,A-2-Q,Y,,>4 Yr <= 5 Yr,Central Bank,ENTITY-11,Wealth Management,2026-09-15,Bank,N,19143.368,Puttable,Y,731.3,976.774,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.3,EUR,N,SP-1,,,Day 15,0.0,,A-1-Q,N,,151 - 179 Days,FHLB,ENTITY-05,Retail Banking,2026-04-20,Bank,Y,51122.374,Extendable,Y,516.84,42911.281,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.4,USD,Y,SP-2,,,Day 26,0.0,,A-2-Q,Y,,>3 Yr <= 4 Yr,Securities Lending,ENTITY-16,Commercial Banking,2026-05-01,Bank,Y,40839.914,Callable,Y,874.23,52821.416,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.5,USD,Y,SP-1,,,Day 21,0.0,,CB-1-Q,Y,,>2 Yr <= 3 Yr,Repo,ENTITY-01,Prime Brokerage,2026-04-26,Other Supervised Non-Bank Financial Entity,N,7506.556,Extendable,Y,100.0,9553.63,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.6,CNY,N,SP-1,,,83 - 90 Days,0.0,,A-1-Q,Y,,>5 Yr,FHLB,ENTITY-07,Commercial Banking,2026-07-02,Investment Company or Advisor,N,33229.931,NULL,Y,20.0,55232.292,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.7,USD,Y,SP-4,,,Day 17,0.0,,A-1-Q,N,,Day 30,Derivatives,,Treasury,2026-04-22,Bank,Y,45903.326,Callable,N,0.0,22583.37,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.8,USD,Y,SP-8,,,Day 38,0.0,,A-1-Q,N,,91 - 120 Days,NULL,,Commercial Banking,2026-05-13,Bank,Y,27966.68,NULL,N,823.63,39419.078,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.9,HKD,N,SP-3,,,Day 56,0.0,,G-2-Q,Y,,Day 30,Repo,ENTITY-09,Wealth Management,2026-05-31,Investment Company or Advisor,Y,45613.494,Extendable,Y,100.0,31.13,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-05,I.S.10,JPY,N,SP-5,,,Open,0.0,,A-1-Q,N,,>4 Yr <= 5 Yr,Repo,ENTITY-05,Wealth Management,,Broker-Dealer,N,18597.032,Callable,Y,150.0,11789.48,N,N,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.1,SGD,N,,,,Day 16,0.0,,LC-2,Y,,,,,Treasury,2026-04-21,Financial Market Utility,N,6557.157,,N,,3803.129,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.2,CAD,N,,,,Day 55,0.0,,CB-2-Q,N,,,,,Markets,2026-05-30,Broker-Dealer,N,12283.478,,N,,12901.169,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.3,CNY,N,,,,Day 1,8738.953,Day 30,CB-3,N,,,,,Commercial Banking,2026-04-06,Debt Issuing SPE,N,5347.313,,N,,1786.68,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.4,USD,Y,,,,Day 14,0.0,,C-1,Y,,,,ENTITY-09,Treasury,2026-04-19,Central Bank,N,7024.556,,Y,,11939.748,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.5,HKD,N,,,,61 - 67 Days,0.0,,S-4-Q,N,,,,ENTITY-17,Prime Brokerage,2026-06-11,Financial Market Utility,Y,6694.652,,Y,,8272.246,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.6,CHF,N,,,,Day 46,0.0,,S-5,Y,,,,ENTITY-17,Markets,2026-05-21,Bank,Y,2284.981,,Y,,4821.809,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.7,USD,Y,,,,Day 35,0.0,,A-2-Q,Y,,,,ENTITY-11,Prime Brokerage,2026-05-10,Non-Regulated Fund,Y,4318.656,,Y,,7546.595,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.8,CNY,N,,,,Perpetual,0.0,,S-7-Q,N,,,,,Markets,,Financial Market Utility,Y,4651.166,,N,,13323.108,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-05,I.O.9,CHF,N,,,,Day 5,0.0,,S-4-Q,N,,,,,Markets,2026-04-10,Investment Company or Advisor,N,13855.133,,N,,1661.284,,,,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-05,O.W.1,USD,N,,,,Day 51,0.0,,G-2-Q,,,,,,Markets,2026-05-26,Broker-Dealer,N,32190.981,Puttable,N,,12968.023,,,Capital,,,,,,,,,
