Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-09,I.A.1,AUD,N,SP-5,9231.147,28256.23,Day 50,0.0,,P-1,N,Trading Asset,>5 Yr,Derivatives,ENTITY-08,Prime Brokerage,2026-05-29,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-09,I.A.2,JPY,N,SP-6,12664.044,6512.543,>3 Yr <= 4 Yr,0.0,,S-6,Y,Trading Asset,121 - 150 Days,NULL,ENTITY-19,Retail Banking,2029-04-24,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-09,I.A.3,USD,Y,SP-3,20816.69,17029.74,Day 32,0.0,,A-4-Q,Y,Not Applicable,180 - 270 Days,NULL,ENTITY-08,Wealth Management,2026-05-11,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-09,I.A.4,USD,Y,SP-3,35908.669,18051.237,Day 20,0.0,,LC-1,Y,Not Applicable,271 - 364 Days,NULL,ENTITY-09,Prime Brokerage,2026-04-29,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-09,I.A.5,AUD,N,SP-6,32821.774,28952.053,Day 4,0.0,,E-1-Q,N,Held-to-Maturity,180 - 270 Days,Securities Lending,ENTITY-11,Wealth Management,2026-04-13,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-09,I.A.6,AUD,N,SP-1,17681.394,7242.981,Day 42,0.0,,A-5,N,Trading Asset,180 - 270 Days,NULL,ENTITY-02,Markets,2026-05-21,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-09,I.A.7,CAD,N,SP-9,15067.433,33899.894,68 - 74 Days,19751.74,Day 27,Z-1,Y,Held-to-Maturity,Day 90,Other,ENTITY-16,Prime Brokerage,2026-06-19,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-09,I.U.1,CAD,N,,,,Day 5,0.0,,,,,Day 90,Central Bank,ENTITY-03,Markets,2026-04-14,Broker-Dealer,Y,23118.396,NULL,Y,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-09,I.U.2,AUD,N,,,,121 - 150 Days,0.0,,,,,>5 Yr,NULL,,Wealth Management,2026-08-29,Central Bank,N,10858.386,Callable,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-09,I.U.3,USD,Y,,,,75 - 82 Days,0.0,,,,,Day 90,Derivatives,ENTITY-19,Wealth Management,2026-06-29,Bank,Y,19804.236,Callable,Y,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-09,I.U.4,JPY,N,,,,Day 54,0.0,,,,,Day 90,Derivatives,,Wealth Management,2026-06-02,PSE,N,157.488,Puttable,N,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-09,I.U.5,SGD,N,,,,Day 46,0.0,,,,,>= 1 Yr <= 2 Yr,NULL,,Markets,2026-05-25,Non-Regulated Fund,Y,16599.728,Extendable,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-09,I.U.6,USD,Y,,,,>4 Yr <= 5 Yr,0.0,,,,,>3 Yr <= 4 Yr,Securities Lending,,Commercial Banking,2031-01-03,Central Bank,N,9824.176,Callable,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-09,I.U.7,USD,Y,,,,Day 17,0.0,,,,,>4 Yr <= 5 Yr,Repo,,Commercial Banking,2026-04-26,Bank,Y,11903.497,NULL,N,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-09,I.U.8,USD,Y,,,,Day 14,0.0,,,,,>2 Yr <= 3 Yr,Repo,ENTITY-04,Markets,2026-04-23,Other Supranational,Y,12795.085,Puttable,Y,50.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-09,I.S.1,GBP,N,SP-1,,,Day 29,0.0,,G-2-Q,Y,,Day 30,Securities Lending,,Markets,2026-05-08,Bank,Y,46872.96,Extendable,N,0.0,37481.028,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-09,I.S.2,AUD,N,SP-1,,,Day 43,0.0,,A-1-Q,Y,,Day 30,Repo,,Treasury,2026-05-22,Other Supervised Non-Bank Financial Entity,N,54644.052,Extendable,N,150.0,7980.889,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-09,I.S.3,USD,Y,SP-8,,,Day 30,737.438,>3 Yr <= 4 Yr,A-2-Q,N,,>4 Yr <= 5 Yr,Repo,ENTITY-18,Wealth Management,2026-05-09,Broker-Dealer,N,15651.01,NULL,Y,150.0,4900.205,N,N,,,,,,,,,,
