Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,USWest,2026-03-22,I.A.1,USD,Y,SP-6,14041112000000.0,7855591000000.0,Day 3,0.0,,E-2-Q,Y,Trading Asset,Open,Central Bank,ENTITY-05,Retail Banking,2026-03-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-22,I.A.2,HKD,N,SP-7,22344298000000.0,1409841500000.0,Day 40,0.0,,Z-1,N,Trading Asset,Day 90,FHLB,ENTITY-11,Commercial Banking,2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-22,I.A.3,USD,Y,SP-9,22668531000000.0,20410386000000.0,Day 2,9770009000000.0,83 - 90 Days,S-4,N,Not Applicable,Day 30,Derivatives,ENTITY-08,Prime Brokerage,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-22,I.A.4,USD,Y,SP-7,22359243000000.0,8042440500000.0,Day 27,0.0,,CB-2,N,Not Applicable,>2 Yr <= 3 Yr,Other,ENTITY-03,Wealth Management,2026-04-18,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-22,I.A.5,USD,Y,SP-9,3071525500000.0,9782293000000.0,Day 53,0.0,,A-0-Q,N,Available-for-Sale,>4 Yr <= 5 Yr,Derivatives,ENTITY-02,Markets,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-22,I.A.6,USD,Y,SP-7,10653238500000.0,21875460500000.0,Day 26,0.0,,CB-4,Y,Available-for-Sale,121 - 150 Days,Central Bank,ENTITY-20,Commercial Banking,2026-04-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-22,I.A.7,USD,Y,SP-5,7231874000000.0,1504948000000.0,Day 51,0.0,,E-2-Q,Y,Not Applicable,>4 Yr <= 5 Yr,Central Bank,ENTITY-04,Retail Banking,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-22,I.U.1,USD,Y,,,,91 - 120 Days,0.0,,,,,Open,Derivatives,ENTITY-08,Markets,2026-06-24,Other,N,48490.57,NULL,Y,734.33,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-22,I.U.2,HKD,N,,,,Day 18,0.0,,,,,>3 Yr <= 4 Yr,Securities Lending,ENTITY-09,Commercial Banking,2026-04-09,Financial Market Utility,N,30270.218,Callable,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-22,I.U.3,USD,Y,,,,75 - 82 Days,28501.424,Day 14,,,,>5 Yr,NULL,,Commercial Banking,2026-06-06,Other Supervised Non-Bank Financial Entity,N,33837.918,Callable,N,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-22,I.U.4,USD,Y,,,,Day 21,0.0,,,,,151 - 179 Days,NULL,ENTITY-13,Prime Brokerage,2026-04-12,Debt Issuing SPE,Y,27584.234,Extendable,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-22,I.U.5,USD,Y,,,,Day 31,0.0,,,,,>3 Yr <= 4 Yr,Other,,Markets,2026-04-22,Non-Regulated Fund,N,22143.425,Extendable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-22,I.U.6,SGD,N,,,,Day 1,0.0,,,,,>5 Yr,Central Bank,ENTITY-11,Retail Banking,2026-03-23,Financial Market Utility,Y,39612.047,NULL,Y,291.68,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-22,I.U.7,USD,Y,,,,Day 49,0.0,,,,,Day 30,Central Bank,ENTITY-20,Retail Banking,2026-05-10,MDB,N,12943.019,Callable,Y,401.54,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-22,I.U.8,EUR,N,,,,180 - 270 Days,0.0,,,,,>3 Yr <= 4 Yr,NULL,,Treasury,2026-11-28,Debt Issuing SPE,Y,20226.042,Extendable,N,50.0,,,,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.1,GBP,N,SP-4,,,Day 34,1529272700000.0,Day 35,A-1-Q,Y,,151 - 179 Days,Other,ENTITY-16,Wealth Management,2026-04-25,Bank,Y,580126450000.0,NULL,Y,150.0,1080050500000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.2,USD,Y,SP-6,,,Day 11,0.0,,G-2-Q,Y,,180 - 270 Days,Repo,,Commercial Banking,2026-04-02,Bank,N,822564750000.0,Callable,N,0.0,1293795750000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.3,USD,Y,SP-5,,,Day 4,0.0,,G-2-Q,N,,180 - 270 Days,Securities Lending,,Prime Brokerage,2026-03-26,Bank,Y,2095028700000.0,Puttable,N,0.0,1079699100000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.4,JPY,N,SP-2,,,Day 10,0.0,,A-1-Q,Y,,Day 1,NULL,ENTITY-12,Retail Banking,2026-04-01,Bank,Y,47986150000.0,Puttable,Y,50.0,1463121200000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.5,CNY,N,SP-6,,,Day 43,0.0,,S-1-Q,N,,>= 1 Yr <= 2 Yr,Other,,Treasury,2026-05-04,Bank,N,2347397700000.0,Extendable,N,0.0,1609205500000.0,N,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.6,HKD,N,SP-6,,,Perpetual,0.0,,A-1-Q,Y,,271 - 364 Days,NULL,ENTITY-17,Markets,,Investment Company or Advisor,Y,2246875150000.0,Extendable,Y,50.0,2019503350000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.7,USD,Y,SP-7,,,Day 21,2396817600000.0,Day 45,G-2-Q,N,,>2 Yr <= 3 Yr,Central Bank,,Retail Banking,2026-04-12,Bank,N,2373697700000.0,NULL,N,100.0,2352498500000.0,N,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.8,USD,Y,SP-5,,,Day 13,1186345850000.0,68 - 74 Days,A-1-Q,Y,,Day 30,FHLB,ENTITY-17,Wealth Management,2026-04-04,Investment Company or Advisor,Y,13793700000.0,Extendable,Y,150.0,1060901700000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.9,CNY,N,SP-3,,,Day 20,0.0,,G-2-Q,Y,,91 - 120 Days,NULL,ENTITY-12,Commercial Banking,2026-04-11,Bank,N,1990130700000.0,Puttable,Y,50.0,2275505650000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-22,I.S.10,CNY,N,SP-7,,,Day 13,2077242950000.0,121 - 150 Days,G-2-Q,N,,Day 90,Repo,,Wealth Management,2026-04-04,Bank,N,1815760600000.0,NULL,N,150.0,1477142950000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.1,USD,Y,,,,>2 Yr <= 3 Yr,0.0,,A-4-Q,Y,,,,,Retail Banking,2028-12-23,Retail,N,44510.79,,N,,22818.037,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.1,USD,Y,,,,Day 47,0.0,,A-3-Q,Y,,,,,Treasury,2026-05-08,GSE,N,11779.153,,N,,41151.364,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.1,USD,Y,,,,Day 14,47024.615,Day 5,S-6,N,,,,ENTITY-19,Retail Banking,2026-04-05,Non-Regulated Fund,N,48571.432,,Y,,32248.109,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.1,GBP,N,,,,Day 42,0.0,,S-4-Q,Y,,,,ENTITY-10,Retail Banking,2026-05-03,PSE,Y,16814.386,,Y,,34706.771,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.2,CHF,N,,,,Day 53,0.0,,CB-2,Y,,,,,Retail Banking,2026-05-14,Non-Financial Corporate,N,7788.539,,N,,23528.761,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.2,USD,Y,,,,Day 19,0.0,,A-5,N,,,,ENTITY-04,Markets,2026-04-10,Sovereign,N,48377.076,,Y,,34356.613,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.2,USD,Y,,,,Day 10,0.0,,E-2-Q,N,,,,,Prime Brokerage,2026-04-01,Financial Market Utility,N,1800.625,,N,,7598.512,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.2,AUD,N,,,,Day 41,0.0,,G-1,Y,,,,ENTITY-09,Commercial Banking,2026-05-02,Broker-Dealer,N,12512.823,,Y,,44572.629,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.3,USD,Y,,,,Day 17,0.0,,G-3-Q,Y,,,,,Wealth Management,2026-04-08,Non-Financial Corporate,N,33836.075,,N,,46033.025,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.4,USD,Y,,,,Day 45,19680.859,Day 38,CB-2-Q,N,,,,,Retail Banking,2026-05-06,MDB,N,12356.863,,N,,13971.988,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.4,USD,Y,,,,Day 52,0.0,,S-4,Y,,,,,Markets,2026-05-13,Debt Issuing SPE,N,45198.065,,N,,19748.532,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-22,I.O.5,JPY,N,,,,Day 6,0.0,,A-3,Y,,,,ENTITY-19,Commercial Banking,2026-03-28,MDB,Y,23895.818,,Y,,1385.546,,,,,,,,,,,,,,,,,
