Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,Chase,2026-04-22,I.A.1,USD,Y,SP-3,11974.611,4068.419,Day 8,0.0,,A-4,Y,Available-for-Sale,>5 Yr,Securities Lending,ENTITY-01,Wealth Management,2026-04-30,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-22,I.A.2,SGD,N,SP-7,31430.129,33973.118,Day 38,0.0,,S-2,Y,Not Applicable,>3 Yr <= 4 Yr,Derivatives,ENTITY-06,Retail Banking,2026-05-30,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-22,I.A.3,CAD,N,SP-6,44585.74,21651.221,Day 60,0.0,,S-6-Q,N,Held-to-Maturity,>4 Yr <= 5 Yr,Other,ENTITY-13,Retail Banking,2026-06-21,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-22,I.A.4,USD,Y,SP-2,25211.391,49371.135,Day 58,0.0,,S-3-Q,Y,Held-to-Maturity,>5 Yr,Repo,ENTITY-10,Retail Banking,2026-06-19,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-22,I.A.5,CAD,N,SP-4,16630.338,17772.68,>3 Yr <= 4 Yr,13779.126,Day 58,C-1,N,Available-for-Sale,151 - 179 Days,NULL,ENTITY-12,Prime Brokerage,2029-10-30,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-22,I.A.6,USD,Y,SP-5,15201.509,20077.476,Day 47,0.0,,S-5-Q,Y,Available-for-Sale,151 - 179 Days,Central Bank,ENTITY-06,Prime Brokerage,2026-06-08,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-04-22,I.A.7,USD,Y,SP-2,575.172,36507.958,Day 4,8492.737,Day 52,S-7,Y,Available-for-Sale,>4 Yr <= 5 Yr,FHLB,ENTITY-15,Markets,2026-04-26,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-22,I.U.1,USD,Y,,,,121 - 150 Days,0.0,,,,,Day 1,Derivatives,,Markets,2026-09-02,Retail,Y,4915.832,NULL,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-22,I.U.2,HKD,N,,,,Day 30,43572.447,Day 27,,,,121 - 150 Days,Securities Lending,ENTITY-10,Markets,2026-05-22,Other,Y,3912.712,Puttable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-22,I.U.3,USD,Y,,,,Day 17,14015.531,>4 Yr <= 5 Yr,,,,>5 Yr,Central Bank,ENTITY-04,Treasury,2026-05-09,Non-Financial Corporate,Y,5875.307,Extendable,Y,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-22,I.U.4,USD,Y,,,,>4 Yr <= 5 Yr,0.0,,,,,Open,NULL,ENTITY-10,Prime Brokerage,2030-08-28,Financial Market Utility,N,27825.092,NULL,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-22,I.U.5,USD,Y,,,,Day 36,48852.35,151 - 179 Days,,,,Open,NULL,,Commercial Banking,2026-05-28,Debt Issuing SPE,N,31970.879,NULL,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-22,I.U.6,JPY,N,,,,271 - 364 Days,33123.007,Day 20,,,,91 - 120 Days,Other,,Retail Banking,2027-03-27,Retail,N,49154.264,NULL,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-22,I.U.7,CAD,N,,,,Day 35,28847.593,Day 53,,,,Day 1,Repo,,Wealth Management,2026-05-27,Bank,Y,38721.094,Callable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-04-22,I.U.8,USD,Y,,,,Day 18,0.0,,,,,91 - 120 Days,Repo,ENTITY-13,Wealth Management,2026-05-10,Retail,Y,47426.303,Puttable,Y,20.0,,,,,,,,,,,,,,,,,,
