Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,USWest,2026-03-03,I.A.1,CHF,N,SP-5,15426481500000.0,3100800500000.0,Day 30,0.0,,G-3,Y,Held-to-Maturity,Open,Repo,ENTITY-10,Retail Banking,2026-04-02,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-03,I.A.2,USD,Y,SP-3,15538234000000.0,8517654000000.0,Day 55,0.0,,IG-2-Q,N,Not Applicable,>3 Yr <= 4 Yr,NULL,ENTITY-15,Markets,2026-04-27,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-03,I.A.3,EUR,N,SP-4,9366627000000.0,20284991500000.0,Day 56,0.0,,A-5,Y,Held-to-Maturity,Day 90,Repo,ENTITY-19,Retail Banking,2026-04-28,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-03,I.A.4,CHF,N,SP-5,15639454500000.0,19344392000000.0,Day 46,0.0,,S-2,Y,Held-to-Maturity,Day 30,FHLB,ENTITY-04,Commercial Banking,2026-04-18,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-03,I.A.5,USD,Y,SP-2,1302334500000.0,7701531000000.0,61 - 67 Days,0.0,,IG-1,Y,Held-to-Maturity,>= 1 Yr <= 2 Yr,FHLB,ENTITY-10,Treasury,2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-03,I.A.6,CAD,N,SP-6,10213013000000.0,20294953000000.0,>5 Yr,17792581000000.0,Day 41,CB-3,N,Available-for-Sale,271 - 364 Days,Central Bank,ENTITY-18,Prime Brokerage,2032-09-06,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-03,I.A.7,USD,N,SP-2,17035726999999.998,18371808500000.0,Day 60,0.0,,S-3,Y,Held-to-Maturity,Perpetual,NULL,ENTITY-04,Wealth Management,2026-05-02,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-03,I.U.1,USD,N,,,,Perpetual,0.0,,,,,151 - 179 Days,Securities Lending,ENTITY-11,Prime Brokerage,,Debt Issuing SPE,N,34908.195,Extendable,Y,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-03,I.U.2,USD,Y,,,,Day 17,0.0,,,,,>= 1 Yr <= 2 Yr,Central Bank,ENTITY-02,Commercial Banking,2026-03-20,Pension Fund,N,13990.799,Puttable,Y,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-03,I.U.3,USD,Y,,,,Day 21,0.0,,,,,Day 90,Derivatives,,Retail Banking,2026-03-24,Non-Regulated Fund,N,47422.611,Puttable,N,14.64,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-03,I.U.4,USD,Y,,,,Day 40,7515.845,Day 39,,,,>= 1 Yr <= 2 Yr,Other,ENTITY-08,Treasury,2026-04-12,Other,N,31869.28,Puttable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-03,I.U.5,JPY,N,,,,Day 38,0.0,,,,,>2 Yr <= 3 Yr,NULL,ENTITY-10,Treasury,2026-04-10,Debt Issuing SPE,N,14394.39,NULL,Y,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-03,I.U.6,USD,Y,,,,Day 31,0.0,,,,,>= 1 Yr <= 2 Yr,FHLB,ENTITY-01,Markets,2026-04-03,Small Business,N,38006.794,Extendable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-03,I.U.7,CNY,N,,,,Day 36,32290.001,Day 59,,,,151 - 179 Days,NULL,ENTITY-12,Wealth Management,2026-04-08,Financial Market Utility,Y,22297.498,NULL,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-03,I.U.8,HKD,N,,,,Day 12,0.0,,,,,Day 90,FHLB,,Commercial Banking,2026-03-15,Pension Fund,N,10128.511,Callable,N,20.0,,,,,,,,,,,,,,,,,,
