Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-11,I.A.1,GBP,N,SP-4,8516.757,27937.642,Day 16,21449.512,Day 16,S-7-Q,Y,Trading Asset,Open,FHLB,ENTITY-07,Markets,2026-04-27,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-11,I.A.2,USD,Y,SP-2,27999.231,43376.336,Day 2,0.0,,S-1,Y,Not Applicable,Day 30,Derivatives,ENTITY-11,Retail Banking,2026-04-13,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-11,I.A.3,USD,Y,SP-6,7775.539,45763.289,Day 16,0.0,,G-3,Y,Held-to-Maturity,180 - 270 Days,Central Bank,ENTITY-14,Markets,2026-04-27,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-11,I.A.4,USD,Y,SP-1,26830.66,30002.408,Day 2,0.0,,S-6-Q,Y,Not Applicable,Perpetual,FHLB,ENTITY-20,Wealth Management,2026-04-13,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-11,I.A.5,USD,N,SP-7,28221.519,25512.107,Day 52,0.0,,S-8,N,Available-for-Sale,91 - 120 Days,Derivatives,ENTITY-08,Wealth Management,2026-06-02,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-11,I.A.6,USD,Y,SP-8,5685.852,10790.156,Day 40,46057.771,Day 5,S-7,Y,Trading Asset,>3 Yr <= 4 Yr,NULL,ENTITY-11,Commercial Banking,2026-05-21,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-11,I.A.7,SGD,N,SP-7,11410.08,8473.921,Day 57,0.0,,S-2,N,Trading Asset,271 - 364 Days,Other,ENTITY-08,Commercial Banking,2026-06-07,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-11,I.U.1,USD,Y,,,,91 - 120 Days,238.071,Day 17,,,,>= 1 Yr <= 2 Yr,Securities Lending,ENTITY-11,Commercial Banking,2026-08-06,Financial Market Utility,N,15796.219,NULL,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-11,I.U.2,USD,N,,,,Day 20,0.0,,,,,Day 30,NULL,ENTITY-13,Prime Brokerage,2026-05-01,Investment Company or Advisor,N,19797.922,NULL,Y,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-11,I.U.3,USD,Y,,,,Day 49,536.494,61 - 67 Days,,,,Day 90,Derivatives,ENTITY-19,Wealth Management,2026-05-30,Pension Fund,N,22227.466,Callable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-11,I.U.4,CAD,N,,,,Day 33,0.0,,,,,151 - 179 Days,FHLB,,Retail Banking,2026-05-14,Financial Market Utility,Y,9193.587,NULL,N,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-11,I.U.5,CAD,N,,,,Day 10,15492.322,Day 19,,,,Day 1,Other,ENTITY-04,Retail Banking,2026-04-21,Retail,N,4146.466,Callable,Y,999.24,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-11,I.U.6,USD,Y,,,,Day 22,0.0,,,,,121 - 150 Days,Central Bank,,Wealth Management,2026-05-03,Sovereign,Y,76.395,Puttable,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-11,I.U.7,CNY,N,,,,Day 49,3762.776,75 - 82 Days,,,,>3 Yr <= 4 Yr,Repo,,Retail Banking,2026-05-30,Bank,Y,8558.249,Puttable,N,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-11,I.U.8,USD,Y,,,,Day 25,0.0,,,,,91 - 120 Days,FHLB,ENTITY-08,Prime Brokerage,2026-05-06,Investment Company or Advisor,N,5474.73,Extendable,Y,50.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.1,USD,Y,SP-2,,,Day 47,0.0,,A-2-Q,N,,271 - 364 Days,Securities Lending,,Retail Banking,2026-05-28,Bank,Y,57161.502,NULL,N,196.14,50083.392,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.2,CNY,N,SP-4,,,151 - 179 Days,0.0,,CB-1-Q,Y,,>4 Yr <= 5 Yr,Central Bank,ENTITY-02,Treasury,2026-09-13,Broker-Dealer,Y,13310.534,NULL,Y,150.0,34774.776,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.3,GBP,N,SP-9,,,Day 12,0.0,,A-1-Q,N,,Day 30,FHLB,,Commercial Banking,2026-04-23,Broker-Dealer,N,36651.952,Extendable,N,20.0,41499.089,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.4,GBP,N,SP-3,,,Day 42,0.0,,A-1-Q,N,,91 - 120 Days,Derivatives,ENTITY-05,Treasury,2026-05-23,Investment Company or Advisor,Y,26957.818,Puttable,Y,0.0,28159.355,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.5,CHF,N,SP-3,,,Day 54,0.0,,A-1-Q,N,,180 - 270 Days,FHLB,ENTITY-15,Commercial Banking,2026-06-04,Broker-Dealer,N,58266.767,Callable,Y,150.0,15568.402,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.6,USD,Y,SP-4,,,Day 34,4584.055,Day 40,A-1-Q,N,,91 - 120 Days,NULL,ENTITY-20,Retail Banking,2026-05-15,Investment Company or Advisor,N,13993.048,Puttable,Y,0.0,39551.694,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.7,USD,Y,SP-5,,,Day 46,696.772,Day 13,A-1-Q,Y,,>4 Yr <= 5 Yr,Repo,,Prime Brokerage,2026-05-27,Bank,N,34937.47,NULL,N,150.0,2269.52,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.8,AUD,N,SP-7,,,Day 20,0.0,,G-2-Q,Y,,>4 Yr <= 5 Yr,Securities Lending,,Commercial Banking,2026-05-01,Broker-Dealer,N,2248.926,Puttable,N,150.0,48901.898,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.9,GBP,N,SP-3,,,Day 9,0.0,,G-2-Q,Y,,91 - 120 Days,NULL,ENTITY-14,Markets,2026-04-20,Bank,N,59344.346,Puttable,Y,0.0,18183.924,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-11,I.S.10,EUR,N,SP-5,,,>4 Yr <= 5 Yr,0.0,,G-2-Q,Y,,Day 90,FHLB,ENTITY-09,Prime Brokerage,2030-04-30,Broker-Dealer,Y,22264.322,Extendable,Y,50.0,48804.234,N,Y,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.1,CHF,N,,,,61 - 67 Days,10965.47,Day 38,S-2-Q,N,,,,,Prime Brokerage,2026-06-13,GSE,N,553.812,,N,,716.726,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.2,USD,Y,,,,Day 37,0.0,,IG-2,Y,,,,ENTITY-04,Commercial Banking,2026-05-18,MDB,Y,8189.188,,Y,,1646.026,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.3,USD,Y,,,,121 - 150 Days,0.0,,IG-1,Y,,,,,Markets,2026-08-17,PSE,N,7194.765,,N,,7122.82,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.4,USD,Y,,,,Day 51,0.0,,S-6,N,,,,ENTITY-02,Commercial Banking,2026-06-01,Bank,N,11432.553,,Y,,14411.825,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.5,USD,Y,,,,Day 29,0.0,,S-1,N,,,,ENTITY-10,Retail Banking,2026-05-10,Financial Market Utility,N,9248.047,,Y,,1432.212,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.6,EUR,N,,,,Day 36,0.0,,LC-2,Y,,,,,Commercial Banking,2026-05-17,Non-Financial Corporate,Y,2918.561,,N,,12934.291,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.7,USD,Y,,,,Day 42,0.0,,IG-1,Y,,,,ENTITY-06,Markets,2026-05-23,Other,Y,373.605,,Y,,12721.778,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.8,SGD,N,,,,Day 57,0.0,,A-0-Q,Y,,,,,Treasury,2026-06-07,Other Supranational,N,7722.89,,N,,8705.246,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-11,I.O.9,USD,Y,,,,Day 15,7087.958,271 - 364 Days,IG-1,Y,,,,,Markets,2026-04-26,Small Business,Y,11925.099,,N,,9772.223,,,,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.1,JPY,N,,,,Day 32,0.0,,S-8,,,,,ENTITY-18,Treasury,2026-05-13,Broker-Dealer,Y,29899.76,NULL,Y,,25862.098,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.2,USD,Y,,,,Day 11,20349.71,Day 39,S-6-Q,,,,,,Retail Banking,2026-04-22,Bank,N,11700.066,Extendable,N,,29301.449,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.3,USD,Y,,,,Day 15,0.0,,S-4,,,,,ENTITY-02,Prime Brokerage,2026-04-26,Financial Market Utility,Y,17427.077,Extendable,Y,,18077.695,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.4,USD,Y,,,,Day 52,0.0,,CB-2,,,,,ENTITY-16,Prime Brokerage,2026-06-02,Bank,N,29833.167,Callable,Y,,38348.421,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.5,CAD,N,,,,Day 5,0.0,,S-4,,,,,ENTITY-03,Wealth Management,2026-04-16,Bank,Y,2709.705,NULL,Y,,15846.39,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.6,CHF,N,,,,Day 51,0.0,,G-2,,,,,ENTITY-13,Treasury,2026-06-01,Broker-Dealer,Y,3377.513,Extendable,Y,,25478.616,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.7,USD,Y,,,,Day 34,0.0,,A-2-Q,,,,,,Wealth Management,2026-05-15,Bank,Y,1310.81,Puttable,N,,13203.047,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.8,USD,Y,,,,Day 51,0.0,,S-2-Q,,,,,,Wealth Management,2026-06-01,Broker-Dealer,N,28431.015,NULL,N,,23826.123,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.9,CHF,N,,,,Perpetual,0.0,,P-2,,,,,,Commercial Banking,,Broker-Dealer,N,474.67,Extendable,N,,14649.322,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.10,USD,Y,,,,Day 32,0.0,,CB-3-Q,,,,,ENTITY-06,Retail Banking,2026-05-13,Bank,Y,15841.294,Callable,Y,,9218.598,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.11,EUR,N,,,,Day 17,0.0,,E-1,,,,,,Markets,2026-04-28,Bank,Y,30772.138,Extendable,N,,35779.444,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.12,USD,Y,,,,Day 9,18245.574,Open,S-7,,,,,,Treasury,2026-04-20,Financial Market Utility,N,6125.742,Puttable,N,,33196.948,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.13,USD,Y,,,,Day 2,0.0,,G-2-Q,,,,,ENTITY-11,Markets,2026-04-13,Bank,Y,13008.404,Extendable,Y,,11122.014,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.14,USD,Y,,,,Day 39,0.0,,S-5,,,,,,Wealth Management,2026-05-20,Broker-Dealer,N,29058.351,Puttable,N,,4700.481,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.15,CHF,N,,,,Day 21,0.0,,IG-1-Q,,,,,ENTITY-12,Markets,2026-05-02,Bank,Y,6649.483,Extendable,Y,,17757.398,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.16,USD,Y,,,,61 - 67 Days,20971.381,Day 19,E-1,,,,,ENTITY-14,Markets,2026-06-11,Broker-Dealer,Y,19441.186,NULL,Y,,20408.167,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.17,GBP,N,,,,Day 13,0.0,,E-1,,,,,ENTITY-18,Markets,2026-04-24,Broker-Dealer,N,16568.963,Callable,Y,,13549.002,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.18,USD,Y,,,,>5 Yr,0.0,,IG-2-Q,,,,,ENTITY-16,Markets,2032-04-02,Bank,N,2072.498,NULL,Y,,26105.548,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-11,O.W.19,CHF,N,,,,Day 13,0.0,,S-3,,,,,,Wealth Management,2026-04-24,Bank,N,12040.862,Extendable,N,,33663.601,,,TLAC,,,,,,,,,
Outflows,Secured,Wells,2026-04-11,O.S.1,USD,Y,SP-7,,,Day 48,0.0,,G-2-Q,N,,,,ENTITY-01,Markets,2026-05-29,Other,Y,29895.411,Puttable,Y,,14077.294,,N,,,,,,,,,,
Outflows,Secured,Wells,2026-04-11,O.S.2,USD,Y,SP-6,,,Day 45,0.0,,S-1-Q,N,,,,ENTITY-12,Commercial Banking,2026-05-26,Other Supranational,Y,19777.151,Puttable,Y,,49363.658,,N,,,,,,,,,,
Outflows,Secured,Wells,2026-04-11,O.S.3,USD,Y,SP-8,,,68 - 74 Days,0.0,,A-1-Q,Y,,,,,Prime Brokerage,2026-06-20,Non-Financial Corporate,N,54670.393,Callable,N,,27065.179,,N,,,,,,,,,,
Outflows,Secured,Wells,2026-04-11,O.S.4,JPY,N,SP-5,,,>2 Yr <= 3 Yr,0.0,,A-1-Q,Y,,,,,Prime Brokerage,2028-05-22,Central Bank,Y,13974.755,NULL,N,,14313.281,,Y,,,,,,,,,,
Outflows,Secured,Wells,2026-04-11,O.S.5,USD,Y,SP-3,,,Day 15,24782.123,Day 32,CB-2-Q,N,,,,,Treasury,2026-04-26,Broker-Dealer,Y,41792.739,Extendable,N,,35223.085,,Y,,,,,,,,,,
