Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,USWest,2026-03-28,I.A.1,CNY,N,SP-6,10566711500000.0,7532848000000.0,Day 44,19652427000000.0,Day 21,A-3-Q,N,Not Applicable,Open,Derivatives,ENTITY-12,Retail Banking,2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-28,I.A.2,GBP,N,SP-1,2871330500000.0,8146476000000.0,>4 Yr <= 5 Yr,0.0,,E-2-Q,Y,Trading Asset,Day 90,Other,ENTITY-17,Markets,2030-08-07,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-28,I.A.3,SGD,N,SP-6,8683431000000.001,19197306000000.0,Day 43,23771599000000.0,Day 3,A-5-Q,Y,Held-to-Maturity,>4 Yr <= 5 Yr,Securities Lending,ENTITY-12,Wealth Management,2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-28,I.A.4,USD,Y,SP-5,23702788500000.0,12313954000000.0,Day 7,0.0,,CB-4,N,Available-for-Sale,Perpetual,Other,ENTITY-01,Prime Brokerage,2026-04-04,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-28,I.A.5,HKD,N,SP-7,2042215000000.0,124487500000.0,Day 1,0.0,,CB-2-Q,Y,Not Applicable,Day 1,Repo,ENTITY-17,Retail Banking,2026-03-29,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-28,I.A.6,USD,Y,SP-4,1465330000000.0,11669457000000.0,Day 50,21259732000000.0,Day 57,IG-2,Y,Trading Asset,121 - 150 Days,NULL,ENTITY-12,Prime Brokerage,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-28,I.A.7,USD,Y,SP-7,12884396500000.0,12285205500000.0,Day 28,0.0,,E-1,Y,Trading Asset,Day 1,Securities Lending,ENTITY-17,Commercial Banking,2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-28,I.U.1,GBP,N,,,,Day 42,0.0,,,,,>3 Yr <= 4 Yr,NULL,ENTITY-17,Markets,2026-05-09,Other Supranational,N,26447.412,NULL,Y,298.97,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-28,I.U.2,USD,Y,,,,Day 54,0.0,,,,,Day 1,Central Bank,ENTITY-07,Commercial Banking,2026-05-21,GSE,N,3145.074,NULL,Y,553.15,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-28,I.U.3,USD,Y,,,,Day 1,0.0,,,,,Day 30,Other,ENTITY-11,Markets,2026-03-29,Other Supranational,N,17335.989,NULL,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-28,I.U.4,CHF,N,,,,Day 3,15235.795,Day 36,,,,Perpetual,Repo,ENTITY-09,Treasury,2026-03-31,Other Supervised Non-Bank Financial Entity,Y,4251.661,NULL,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-28,I.U.5,USD,Y,,,,Day 37,0.0,,,,,Day 30,FHLB,ENTITY-20,Wealth Management,2026-05-04,GSE,Y,31008.291,NULL,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-28,I.U.6,USD,Y,,,,Day 49,33359.008,Day 10,,,,Perpetual,Securities Lending,ENTITY-19,Markets,2026-05-16,MDB,Y,23793.367,Puttable,Y,87.9,,,,,,,,,,,,,,,,,,
