Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-03-23,I.A.1,USD,Y,SP-9,20001.055,7335.345,Day 14,0.0,,S-2,N,Held-to-Maturity,Day 30,Other,ENTITY-09,Commercial Banking,2026-04-06,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-23,I.A.2,GBP,N,SP-1,35720.908,43664.598,121 - 150 Days,0.0,,Z-1,N,Trading Asset,91 - 120 Days,Repo,ENTITY-11,Markets,2026-08-12,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-23,I.A.3,CNY,N,SP-9,42983.765,18237.042,Day 6,0.0,,S-7-Q,Y,Held-to-Maturity,Day 1,Other,ENTITY-02,Prime Brokerage,2026-03-29,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-23,I.A.4,CNY,N,SP-4,47746.263,37333.261,Day 48,24149.256,Day 42,CB-2,N,Not Applicable,Perpetual,NULL,ENTITY-11,Prime Brokerage,2026-05-10,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-23,I.A.5,USD,Y,SP-3,12332.26,36168.349,Perpetual,0.0,,LC-2,Y,Trading Asset,>4 Yr <= 5 Yr,FHLB,ENTITY-10,Wealth Management,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-23,I.A.6,USD,Y,SP-8,46955.601,44307.741,Day 15,7669.451,Day 33,S-3,N,Held-to-Maturity,180 - 270 Days,FHLB,ENTITY-02,Markets,2026-04-07,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-23,I.A.7,CAD,N,SP-2,43503.819,35831.469,Day 57,0.0,,S-4,Y,Available-for-Sale,Day 60,Derivatives,ENTITY-11,Wealth Management,2026-05-19,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-23,I.U.1,CHF,N,,,,Day 53,0.0,,,,,271 - 364 Days,Other,ENTITY-16,Prime Brokerage,2026-05-15,MDB,N,2797.03,Extendable,Y,876.24,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-23,I.U.2,GBP,N,,,,Open,7566.097,Day 25,,,,121 - 150 Days,Repo,,Wealth Management,,Central Bank,Y,16862.76,NULL,N,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-23,I.U.3,USD,Y,,,,Day 13,0.0,,,,,>5 Yr,Central Bank,,Markets,2026-04-05,PSE,N,6736.822,Callable,N,50.0,,,,,,,,,,,,,
