Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-03,I.A.1,CAD,N,SP-6,13324.733,49964.731,Day 28,0.0,,IG-2-Q,Y,Held-to-Maturity,Day 1,Central Bank,ENTITY-11,Commercial Banking,2026-05-01,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-03,I.A.2,JPY,N,SP-6,26781.228,39578.72,68 - 74 Days,0.0,,S-2-Q,N,Trading Asset,Day 1,Securities Lending,ENTITY-20,Prime Brokerage,2026-06-12,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-03,I.A.3,HKD,N,SP-3,20886.53,3628.381,Day 34,8375.761,Day 2,S-6,N,Trading Asset,Day 1,Derivatives,ENTITY-12,Wealth Management,2026-05-07,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-03,I.A.4,USD,Y,SP-4,30564.485,22430.823,Day 37,0.0,,S-2,N,Not Applicable,Day 90,FHLB,ENTITY-14,Wealth Management,2026-05-10,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-03,I.A.5,JPY,N,SP-5,11185.422,21399.535,Day 26,39265.992,Day 34,A-5,Y,Trading Asset,>5 Yr,Repo,ENTITY-04,Retail Banking,2026-04-29,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-03,I.A.6,USD,Y,SP-4,20571.785,406.117,151 - 179 Days,0.0,,S-4,Y,Trading Asset,Day 1,FHLB,ENTITY-19,Prime Brokerage,2026-09-17,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-03,I.A.7,USD,Y,SP-2,28331.964,17774.228,Day 1,27919.008,Day 25,S-5,Y,Available-for-Sale,Day 1,Other,ENTITY-04,Markets,2026-04-04,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-03,I.U.1,GBP,N,,,,Day 12,3540.612,Day 2,,,,Day 60,FHLB,ENTITY-12,Treasury,2026-04-15,GSE,Y,24070.785,Callable,Y,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-03,I.U.2,USD,Y,,,,Day 51,0.0,,,,,Day 60,Central Bank,ENTITY-16,Treasury,2026-05-24,Sovereign,N,12829.809,Puttable,Y,638.96,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-03,I.U.3,USD,Y,,,,Perpetual,0.0,,,,,Open,Securities Lending,,Treasury,,Pension Fund,Y,10416.099,Extendable,N,985.57,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-03,I.U.4,USD,Y,,,,Day 37,18839.111,Day 45,,,,Open,Other,,Prime Brokerage,2026-05-10,Other Supervised Non-Bank Financial Entity,N,22276.879,Callable,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-03,I.U.5,USD,Y,,,,Day 4,0.0,,,,,>2 Yr <= 3 Yr,Repo,ENTITY-10,Retail Banking,2026-04-07,Debt Issuing SPE,N,21946.539,Puttable,Y,27.36,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-03,I.U.6,USD,Y,,,,Day 5,0.0,,,,,>2 Yr <= 3 Yr,FHLB,,Retail Banking,2026-04-08,Broker-Dealer,Y,14584.472,NULL,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-03,I.U.7,USD,N,,,,Day 30,0.0,,,,,Open,Repo,ENTITY-15,Wealth Management,2026-05-03,Investment Company or Advisor,Y,4351.238,NULL,Y,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-03,I.U.8,CAD,N,,,,Day 14,21306.256,Day 56,,,,>5 Yr,Repo,ENTITY-01,Commercial Banking,2026-04-17,Other Supervised Non-Bank Financial Entity,N,1953.101,Callable,Y,491.14,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-03,I.S.1,JPY,N,SP-6,,,Day 14,0.0,,A-1-Q,N,,>2 Yr <= 3 Yr,Other,ENTITY-09,Commercial Banking,2026-04-17,Bank,N,26706.281,Callable,Y,50.0,44231.639,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-03,I.S.2,AUD,N,SP-8,,,Day 38,43527.449,Day 54,A-1-Q,N,,>5 Yr,FHLB,,Retail Banking,2026-05-11,Investment Company or Advisor,Y,26584.525,Extendable,N,100.0,56449.16,N,Y,,,,,,,,,,
