Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,USWest,2026-03-04,I.A.1,CHF,N,SP-9,3503019000000.0,5666881000000.0,Day 44,0.0,,S-3-Q,N,Available-for-Sale,>= 1 Yr <= 2 Yr,NULL,ENTITY-06,Markets,2026-04-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-04,I.A.2,USD,Y,SP-4,15816149000000.0,1386277000000.0,Perpetual,623523000000.0,Day 42,E-1,Y,Held-to-Maturity,121 - 150 Days,Derivatives,ENTITY-12,Markets,,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-04,I.A.3,USD,Y,SP-3,15592106500000.0,6643760000000.0,Day 42,0.0,,A-3,Y,Trading Asset,>4 Yr <= 5 Yr,Securities Lending,ENTITY-02,Markets,2026-04-15,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-04,I.A.4,AUD,N,SP-2,5034930500000.0,1737402000000.0,Day 42,0.0,,S-6,Y,Held-to-Maturity,121 - 150 Days,Central Bank,ENTITY-02,Markets,2026-04-15,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-04,I.A.5,USD,Y,SP-2,3884852000000.0,17746938000000.0,>4 Yr <= 5 Yr,14344169000000.0,Day 33,CB-3,Y,Available-for-Sale,121 - 150 Days,FHLB,ENTITY-07,Prime Brokerage,2030-05-09,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-04,I.A.6,SGD,N,SP-4,7809322000000.0,14077470500000.0,Day 33,0.0,,A-4,N,Held-to-Maturity,Day 60,Securities Lending,ENTITY-13,Treasury,2026-04-06,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-03-04,I.A.7,USD,Y,SP-8,10722038000000.0,1433928000000.0,Day 16,0.0,,S-1,Y,Not Applicable,91 - 120 Days,Securities Lending,ENTITY-08,Retail Banking,2026-03-20,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-04,I.U.1,USD,Y,,,,Day 36,0.0,,,,,>3 Yr <= 4 Yr,Central Bank,ENTITY-12,Prime Brokerage,2026-04-09,Sovereign,Y,17013.074,Callable,Y,1194.87,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-04,I.U.2,USD,Y,,,,Day 58,0.0,,,,,>3 Yr <= 4 Yr,Other,,Markets,2026-05-01,PSE,Y,8564.113,Callable,N,901.18,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-04,I.U.3,USD,N,,,,61 - 67 Days,0.0,,,,,151 - 179 Days,Securities Lending,,Retail Banking,2026-05-07,Small Business,N,24439.296,Extendable,N,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-04,I.U.4,HKD,N,,,,121 - 150 Days,26723.267,Day 44,,,,Open,FHLB,ENTITY-12,Treasury,2026-07-05,Bank,N,48305.045,Callable,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-04,I.U.5,USD,Y,,,,Day 36,0.0,,,,,151 - 179 Days,Central Bank,ENTITY-06,Retail Banking,2026-04-09,Other Supranational,Y,4581.115,Puttable,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-04,I.U.6,USD,Y,,,,Day 2,0.0,,,,,Day 30,NULL,,Markets,2026-03-06,Sovereign,Y,42578.398,Puttable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-04,I.U.7,USD,Y,,,,75 - 82 Days,0.0,,,,,Day 1,Repo,,Treasury,2026-05-24,Broker-Dealer,N,10718.623,Callable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-03-04,I.U.8,USD,Y,,,,83 - 90 Days,5850.823,Day 19,,,,271 - 364 Days,FHLB,,Prime Brokerage,2026-05-31,Financial Market Utility,N,17926.511,NULL,N,150.0,,,,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.1,USD,Y,SP-9,,,Day 47,0.0,,G-2-Q,N,,91 - 120 Days,Securities Lending,,Retail Banking,2026-04-20,Bank,Y,1457192400000.0,Extendable,N,150.0,1805487200000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.2,AUD,N,SP-8,,,Day 15,0.0,,G-2-Q,Y,,180 - 270 Days,Derivatives,ENTITY-04,Treasury,2026-03-19,Bank,N,1068557000000.0,Callable,Y,573.33,1051711700000.0,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.3,USD,N,SP-8,,,83 - 90 Days,0.0,,S-1-Q,N,,>4 Yr <= 5 Yr,NULL,,Retail Banking,2026-06-01,Bank,N,530138900000.0,Puttable,N,0.0,200905450000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.4,USD,Y,SP-8,,,Day 41,0.0,,S-1-Q,Y,,Day 90,Securities Lending,ENTITY-05,Commercial Banking,2026-04-14,Bank,Y,1986472500000.0,Puttable,Y,100.0,2214771800000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.5,USD,Y,SP-5,,,Day 32,1692000450000.0,Day 58,G-2-Q,N,,Perpetual,Securities Lending,,Wealth Management,2026-04-05,Bank,Y,2232107350000.0,Extendable,N,539.36,1797315800000.0,N,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.6,CAD,N,SP-9,,,Day 29,0.0,,G-2-Q,Y,,Day 30,Other,,Wealth Management,2026-04-02,Investment Company or Advisor,N,1853675400000.0,Extendable,N,150.0,56126000000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.7,USD,N,SP-4,,,Day 58,1985097650000.0,Day 20,A-1-Q,Y,,>2 Yr <= 3 Yr,Repo,,Prime Brokerage,2026-05-01,Bank,N,373897400000.0,Callable,N,150.0,1869118550000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.8,EUR,N,SP-7,,,Day 32,0.0,,G-2-Q,N,,>2 Yr <= 3 Yr,Central Bank,,Commercial Banking,2026-04-05,Investment Company or Advisor,N,2411570550000.0,NULL,N,1086.92,856814250000.0,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.9,USD,Y,SP-1,,,Day 47,0.0,,A-1-Q,Y,,Day 1,Central Bank,ENTITY-10,Retail Banking,2026-04-20,Bank,N,1992630650000.0,Puttable,Y,100.0,37657000000.0,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-03-04,I.S.10,CAD,N,SP-2,,,75 - 82 Days,0.0,,G-2-Q,Y,,>3 Yr <= 4 Yr,Other,ENTITY-02,Treasury,2026-05-23,Bank,Y,1830992450000.0,Callable,Y,817.36,1308871300000.0,N,N,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-04,I.O.1,USD,Y,,,,Day 43,41955.521,Day 40,A-0-Q,Y,,,,ENTITY-07,Prime Brokerage,2026-04-16,MDB,Y,28054.878,,Y,,32580.011,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-04,I.O.1,HKD,N,,,,Day 35,0.0,,S-7,Y,,,,ENTITY-17,Prime Brokerage,2026-04-08,Pension Fund,N,49771.268,,Y,,15229.91,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-04,I.O.1,EUR,N,,,,Day 11,2775.992,Day 3,G-1-Q,N,,,,ENTITY-12,Retail Banking,2026-03-15,Other Supranational,Y,42588.331,,Y,,12063.51,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-04,I.O.1,SGD,N,,,,Day 6,0.0,,S-3-Q,Y,,,,ENTITY-10,Prime Brokerage,2026-03-10,PSE,Y,9486.621,,Y,,25043.297,,,,,,,,,,,,,,,,,
Inflows,Other,USWest,2026-03-04,I.O.2,USD,Y,,,,Day 41,0.0,,Z-1,N,,,,ENTITY-20,Prime Brokerage,2026-04-14,GSE,Y,30554.535,,Y,,16963.166,,,,,,,,,,,,,,,,,
