Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,Chase,2026-03-12,I.A.1,AUD,N,SP-5,49139.405,15069.059,>= 1 Yr <= 2 Yr,11523.853,83 - 90 Days,IG-1,Y,Trading Asset,271 - 364 Days,NULL,ENTITY-12,Prime Brokerage,2027-03-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-12,I.A.2,HKD,N,SP-4,34045.575,17348.398,Day 48,0.0,,E-1,Y,Not Applicable,Day 30,Repo,ENTITY-01,Wealth Management,2026-04-29,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-12,I.A.3,USD,Y,SP-7,1651.064,1896.202,Day 35,16277.855,Day 18,A-4-Q,N,Not Applicable,91 - 120 Days,NULL,ENTITY-13,Retail Banking,2026-04-16,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-12,I.A.4,USD,Y,SP-7,3779.208,8510.169,Day 50,0.0,,S-6,Y,Held-to-Maturity,>2 Yr <= 3 Yr,Repo,ENTITY-07,Wealth Management,2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-12,I.A.5,GBP,N,SP-9,32953.936,5704.477,Day 55,7188.519,Day 23,IG-1-Q,Y,Available-for-Sale,Open,FHLB,ENTITY-01,Prime Brokerage,2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-12,I.A.6,GBP,N,SP-2,19290.217,34894.321,Day 30,0.0,,S-2,N,Not Applicable,>= 1 Yr <= 2 Yr,Central Bank,ENTITY-02,Markets,2026-04-11,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-12,I.A.7,USD,Y,SP-3,10065.843,49231.507,Day 12,0.0,,Z-1,N,Not Applicable,121 - 150 Days,NULL,ENTITY-02,Prime Brokerage,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-12,I.U.1,USD,Y,,,,Day 44,26786.951,Day 44,,,,Open,Repo,,Markets,2026-04-25,Non-Financial Corporate,N,5147.165,Callable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-12,I.U.2,USD,Y,,,,>= 1 Yr <= 2 Yr,0.0,,,,,>2 Yr <= 3 Yr,Securities Lending,,Commercial Banking,2027-12-16,Other Supervised Non-Bank Financial Entity,Y,28508.739,NULL,N,252.54,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-12,I.U.3,USD,Y,,,,Day 23,0.0,,,,,>5 Yr,Other,ENTITY-11,Markets,2026-04-04,Broker-Dealer,N,28429.708,Puttable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-12,I.U.4,USD,Y,,,,Day 54,0.0,,,,,>2 Yr <= 3 Yr,Securities Lending,,Wealth Management,2026-05-05,Other,Y,26578.965,Puttable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-12,I.U.5,EUR,N,,,,Day 4,0.0,,,,,121 - 150 Days,FHLB,,Treasury,2026-03-16,MDB,Y,21079.814,Puttable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-12,I.U.6,JPY,N,,,,Perpetual,32616.76,151 - 179 Days,,,,271 - 364 Days,Repo,,Commercial Banking,,Broker-Dealer,Y,39709.065,Callable,N,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-12,I.U.7,USD,N,,,,Day 36,0.0,,,,,>3 Yr <= 4 Yr,Derivatives,ENTITY-15,Wealth Management,2026-04-17,Retail,N,38002.487,Extendable,Y,150.0,,,,,,,,,,,,,,,,,,
