Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-07,I.A.1,EUR,N,SP-9,26075.437,12907.005,Day 56,0.0,,Z-1,N,Not Applicable,>2 Yr <= 3 Yr,FHLB,ENTITY-11,Commercial Banking,2026-06-02,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-07,I.A.2,USD,Y,SP-1,13742.374,9762.024,Day 14,0.0,,G-3-Q,Y,Available-for-Sale,121 - 150 Days,Other,ENTITY-16,Markets,2026-04-21,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-07,I.A.3,USD,Y,SP-7,17677.943,47340.197,Day 4,0.0,,S-7,Y,Not Applicable,>3 Yr <= 4 Yr,Other,ENTITY-01,Markets,2026-04-11,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-07,I.A.4,USD,Y,SP-2,16758.995,15591.65,>3 Yr <= 4 Yr,0.0,,IG-2,Y,Not Applicable,>3 Yr <= 4 Yr,NULL,ENTITY-19,Wealth Management,2029-06-03,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-07,I.A.5,AUD,N,SP-9,2219.271,49990.709,Day 11,0.0,,IG-1,Y,Held-to-Maturity,271 - 364 Days,Central Bank,ENTITY-13,Markets,2026-04-18,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-07,I.A.6,USD,Y,SP-5,29491.483,8404.771,Day 7,0.0,,E-1,N,Available-for-Sale,180 - 270 Days,NULL,ENTITY-18,Retail Banking,2026-04-14,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-07,I.A.7,USD,Y,SP-8,46717.681,46205.415,Day 44,0.0,,S-4,N,Not Applicable,180 - 270 Days,Securities Lending,ENTITY-14,Treasury,2026-05-21,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-07,I.U.1,USD,Y,,,,>= 1 Yr <= 2 Yr,0.0,,,,,>5 Yr,Derivatives,,Treasury,2027-08-28,Investment Company or Advisor,Y,13022.396,NULL,N,384.56,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-07,I.U.2,JPY,N,,,,Day 51,0.0,,,,,>4 Yr <= 5 Yr,Derivatives,,Commercial Banking,2026-05-28,Retail,Y,3690.381,Callable,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-07,I.U.3,SGD,N,,,,Day 3,0.0,,,,,151 - 179 Days,Repo,ENTITY-13,Markets,2026-04-10,Non-Regulated Fund,Y,16723.264,Callable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-07,I.U.4,USD,N,,,,Day 16,0.0,,,,,Day 90,Repo,ENTITY-03,Commercial Banking,2026-04-23,Debt Issuing SPE,N,13991.664,Extendable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-07,I.U.5,EUR,N,,,,Day 6,0.0,,,,,180 - 270 Days,FHLB,ENTITY-12,Commercial Banking,2026-04-13,Other,Y,24332.663,Extendable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-07,I.U.6,CNY,N,,,,121 - 150 Days,0.0,,,,,271 - 364 Days,Securities Lending,,Markets,2026-08-25,Other Supervised Non-Bank Financial Entity,Y,20396.0,Extendable,N,1072.38,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-07,I.U.7,CHF,N,,,,83 - 90 Days,0.0,,,,,121 - 150 Days,Derivatives,,Retail Banking,2026-06-30,Retail,Y,4279.31,Callable,N,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-07,I.U.8,USD,Y,,,,Day 7,22572.169,Day 20,,,,180 - 270 Days,Other,,Prime Brokerage,2026-04-14,Small Business,Y,21998.811,Callable,N,150.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.1,CAD,N,SP-8,,,>2 Yr <= 3 Yr,0.0,,CB-1-Q,Y,,Day 30,Repo,,Markets,2028-06-14,Bank,N,26055.238,Callable,N,150.0,32409.71,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.2,CAD,N,SP-4,,,83 - 90 Days,0.0,,A-1-Q,Y,,>4 Yr <= 5 Yr,Other,ENTITY-13,Treasury,2026-07-05,Bank,Y,42748.361,Puttable,Y,50.0,15856.088,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.3,CAD,N,SP-3,,,Day 11,33853.042,Day 29,A-2-Q,N,,Day 60,Central Bank,ENTITY-18,Wealth Management,2026-04-18,Bank,N,19975.64,Callable,Y,20.0,22432.087,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.4,USD,Y,SP-7,,,Day 8,0.0,,A-1-Q,Y,,91 - 120 Days,Central Bank,,Markets,2026-04-15,Bank,N,32458.714,Puttable,N,20.0,18826.486,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.5,SGD,N,SP-1,,,83 - 90 Days,0.0,,A-1-Q,Y,,>4 Yr <= 5 Yr,FHLB,,Wealth Management,2026-07-05,Investment Company or Advisor,Y,37117.348,Callable,N,20.0,58422.646,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.6,HKD,N,SP-3,,,Day 51,0.0,,A-2-Q,Y,,91 - 120 Days,FHLB,ENTITY-03,Commercial Banking,2026-05-28,Broker-Dealer,N,49162.082,NULL,Y,20.0,17157.299,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.7,USD,Y,SP-3,,,Day 23,0.0,,G-2-Q,Y,,Perpetual,Other,ENTITY-16,Retail Banking,2026-04-30,Broker-Dealer,N,58529.515,NULL,Y,0.0,50647.2,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.8,USD,Y,SP-2,,,Day 29,0.0,,A-2-Q,Y,,Day 30,Derivatives,,Treasury,2026-05-06,Broker-Dealer,Y,47018.444,Puttable,N,150.0,594.623,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.9,CHF,N,SP-8,,,>4 Yr <= 5 Yr,57087.134,Day 58,G-2-Q,Y,,>= 1 Yr <= 2 Yr,FHLB,ENTITY-16,Wealth Management,2030-11-20,Broker-Dealer,Y,4422.864,Extendable,Y,751.72,6204.916,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-07,I.S.10,EUR,N,SP-8,,,Day 15,0.0,,A-1-Q,N,,121 - 150 Days,Securities Lending,,Treasury,2026-04-22,Other Supervised Non-Bank Financial Entity,N,39581.695,Puttable,N,100.0,49342.507,Y,N,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.1,USD,Y,,,,Day 37,11468.894,Day 8,A-5-Q,N,,,,,Wealth Management,2026-05-14,Other Supranational,Y,3596.541,,N,,12234.275,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.2,JPY,N,,,,Day 40,0.0,,A-1-Q,N,,,,ENTITY-04,Commercial Banking,2026-05-17,Bank,Y,692.958,,Y,,11500.703,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.3,USD,Y,,,,Day 48,0.0,,IG-1,N,,,,ENTITY-12,Commercial Banking,2026-05-25,Financial Market Utility,Y,11124.605,,Y,,5744.307,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.4,USD,N,,,,Day 44,0.0,,E-2-Q,N,,,,,Retail Banking,2026-05-21,Small Business,Y,2355.684,,N,,4377.031,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.5,JPY,N,,,,Day 33,0.0,,S-5-Q,N,,,,,Retail Banking,2026-05-10,Small Business,Y,1432.886,,N,,5876.848,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.6,USD,Y,,,,Day 53,0.0,,S-4-Q,Y,,,,ENTITY-16,Markets,2026-05-30,Small Business,Y,5680.671,,Y,,4767.731,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.7,CNY,N,,,,Day 48,0.0,,G-1,N,,,,ENTITY-01,Retail Banking,2026-05-25,Other,Y,772.145,,Y,,13667.554,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.8,CHF,N,,,,Day 37,0.0,,E-2,Y,,,,,Markets,2026-05-14,Sovereign,N,7308.36,,N,,9334.471,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-07,I.O.9,USD,Y,,,,Day 54,0.0,,G-1-Q,Y,,,,ENTITY-15,Retail Banking,2026-05-31,Other Supervised Non-Bank Financial Entity,N,11826.164,,Y,,10955.232,,,,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.1,USD,Y,,,,Day 33,0.0,,S-5,,,,,,Treasury,2026-05-10,Broker-Dealer,N,26030.899,Callable,N,,18037.885,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.2,USD,Y,,,,Day 54,0.0,,G-1,,,,,,Retail Banking,2026-05-31,Financial Market Utility,N,18221.511,NULL,N,,7416.977,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.3,USD,Y,,,,Day 17,0.0,,CB-3-Q,,,,,,Treasury,2026-04-24,Broker-Dealer,N,20119.752,NULL,N,,22062.279,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.4,USD,Y,,,,Day 48,0.0,,C-1,,,,,,Markets,2026-05-25,Broker-Dealer,Y,29467.945,Callable,N,,36656.791,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.5,USD,Y,,,,Day 8,0.0,,CB-3,,,,,ENTITY-08,Retail Banking,2026-04-15,Bank,N,11097.422,NULL,Y,,28646.107,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.6,CNY,N,,,,Day 32,0.0,,LC-2,,,,,,Prime Brokerage,2026-05-09,Bank,Y,21375.594,Extendable,N,,20263.327,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.7,CHF,N,,,,Day 14,0.0,,A-3-Q,,,,,ENTITY-09,Markets,2026-04-21,Broker-Dealer,N,34476.505,Callable,Y,,17380.01,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.8,SGD,N,,,,Day 3,32594.618,Day 54,A-1-Q,,,,,ENTITY-20,Treasury,2026-04-10,Bank,N,396.527,NULL,Y,,22368.771,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.9,GBP,N,,,,Day 40,0.0,,P-2,,,,,ENTITY-18,Markets,2026-05-17,Financial Market Utility,Y,11655.063,NULL,Y,,38259.122,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.10,GBP,N,,,,Day 8,0.0,,CB-2-Q,,,,,,Commercial Banking,2026-04-15,Broker-Dealer,N,22814.506,NULL,N,,23984.778,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.11,USD,Y,,,,Day 28,0.0,,A-1-Q,,,,,ENTITY-15,Wealth Management,2026-05-05,Broker-Dealer,Y,29782.441,Callable,Y,,37927.522,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.12,HKD,N,,,,Day 49,0.0,,CB-1-Q,,,,,,Wealth Management,2026-05-26,Bank,Y,31132.03,Puttable,N,,12890.243,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.13,SGD,N,,,,Day 41,0.0,,A-3,,,,,,Treasury,2026-05-18,Financial Market Utility,N,10969.093,Puttable,N,,4339.638,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.14,CAD,N,,,,Day 18,0.0,,E-2,,,,,,Markets,2026-04-25,Broker-Dealer,N,7260.589,Puttable,N,,14251.053,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.15,USD,Y,,,,Day 49,0.0,,S-7-Q,,,,,,Treasury,2026-05-26,Bank,N,23859.825,NULL,N,,11831.781,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.16,USD,Y,,,,Day 37,0.0,,S-5,,,,,ENTITY-15,Wealth Management,2026-05-14,Bank,N,32250.756,Puttable,Y,,799.622,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.17,USD,Y,,,,>4 Yr <= 5 Yr,37513.438,Day 18,CB-2-Q,,,,,,Prime Brokerage,2030-05-24,Broker-Dealer,N,31411.778,Callable,N,,16857.922,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.18,JPY,N,,,,Day 20,0.0,,A-2-Q,,,,,,Treasury,2026-04-27,Broker-Dealer,N,17229.798,Puttable,N,,36242.714,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-07,O.W.19,USD,Y,,,,Day 40,0.0,,S-7-Q,,,,,ENTITY-16,Retail Banking,2026-05-17,Financial Market Utility,N,37559.63,Callable,Y,,19740.686,,,Capital,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.1,HKD,N,SP-7,,,Day 60,0.0,,CB-2-Q,N,,,,,Retail Banking,2026-06-06,Non-Financial Corporate,Y,51511.921,Callable,N,,30887.185,,N,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.2,USD,Y,SP-4,,,Day 10,0.0,,G-2-Q,Y,,,,,Wealth Management,2026-04-17,Non-Regulated Fund,Y,13786.625,Callable,N,,30604.509,,N,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.3,GBP,N,SP-8,,,Day 45,0.0,,A-1-Q,Y,,,,,Wealth Management,2026-05-22,Financial Market Utility,N,54703.277,Callable,N,,23823.313,,Y,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.4,CNY,N,SP-7,,,Day 49,30718.206,Day 52,A-1-Q,Y,,,,ENTITY-07,Retail Banking,2026-05-26,Sovereign,Y,51412.501,NULL,Y,,29756.767,,Y,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.5,USD,Y,SP-1,,,Day 2,0.0,,G-2-Q,Y,,,,,Wealth Management,2026-04-09,Central Bank,N,37924.317,NULL,N,,17734.426,,N,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.6,USD,Y,SP-9,,,Day 19,0.0,,S-1-Q,N,,,,ENTITY-20,Treasury,2026-04-26,Other Supranational,N,8719.58,Callable,Y,,37089.855,,N,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.7,USD,Y,SP-1,,,Day 60,44066.208,Day 8,G-2-Q,Y,,,,ENTITY-18,Prime Brokerage,2026-06-06,GSE,Y,31219.632,NULL,Y,,44914.422,,Y,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.8,USD,Y,SP-3,,,Day 18,0.0,,S-1-Q,N,,,,ENTITY-20,Treasury,2026-04-25,Retail,N,7140.398,Puttable,Y,,45648.577,,N,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.9,CNY,N,SP-8,,,Day 40,48181.778,Day 33,CB-2-Q,N,,,,ENTITY-07,Retail Banking,2026-05-17,Other Supervised Non-Bank Financial Entity,N,11930.406,Extendable,Y,,21388.424,,Y,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.10,USD,Y,SP-5,,,Day 8,0.0,,G-2-Q,N,,,,,Commercial Banking,2026-04-15,Non-Financial Corporate,Y,31245.293,Puttable,N,,45414.585,,Y,,,,,,,,,,
Outflows,Secured,Wells,2026-04-07,O.S.11,USD,Y,SP-2,,,83 - 90 Days,9882.912,Day 24,A-1-Q,Y,,,,ENTITY-16,Prime Brokerage,2026-06-29,Bank,N,29158.284,NULL,Y,,21844.634,,Y,,,,,,,,,,
Outflows,Deposits,Wells,2026-04-07,O.D.1,USD,Y,,,,Day 28,,,S-6,,,,,ENTITY-18,Markets,2026-05-05,Small Business,Y,57003.515,NULL,Y,,11271.761,,,,N,Other,N,,,,,,
Outflows,Deposits,Wells,2026-04-07,O.D.2,USD,Y,,,,Day 32,,,E-1-Q,,,,,ENTITY-02,Retail Banking,2026-05-09,Retail,N,46373.895,NULL,Y,,37283.461,,,,Y,NULL,N,,,,,,
Outflows,Deposits,Wells,2026-04-07,O.D.3,USD,Y,,,,>= 1 Yr <= 2 Yr,,,IG-2,,,,,ENTITY-20,Wealth Management,2027-07-30,Retail,Y,32324.353,NULL,Y,,19724.619,,,,N,Rating,Y,,,,,,
Outflows,Deposits,Wells,2026-04-07,O.D.4,GBP,N,,,,75 - 82 Days,,,S-3,,,,,ENTITY-14,Treasury,2026-06-23,Small Business,N,33301.344,Callable,Y,,4544.506,,,,Y,Rating,Y,,,,,,
