Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,Chase,2026-03-29,I.A.1,USD,Y,SP-3,33413.004,521.361,Day 19,8233.548,121 - 150 Days,E-1-Q,Y,Not Applicable,180 - 270 Days,Securities Lending,ENTITY-11,Wealth Management,2026-04-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-29,I.A.2,AUD,N,SP-8,14928.219,39629.651,Day 29,0.0,,CB-4,Y,Trading Asset,>2 Yr <= 3 Yr,Other,ENTITY-12,Prime Brokerage,2026-04-27,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-29,I.A.3,USD,Y,SP-7,42113.642,45468.376,Day 59,47915.237,Day 59,LC-2,N,Trading Asset,Day 90,Central Bank,ENTITY-08,Retail Banking,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-29,I.A.4,EUR,N,SP-2,7665.439,6081.96,Day 7,0.0,,CB-4,Y,Held-to-Maturity,121 - 150 Days,Securities Lending,ENTITY-03,Wealth Management,2026-04-05,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-29,I.A.5,HKD,N,SP-4,19664.703,28243.835,Day 7,0.0,,S-5,N,Held-to-Maturity,>= 1 Yr <= 2 Yr,Securities Lending,ENTITY-09,Commercial Banking,2026-04-05,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-29,I.A.6,USD,Y,SP-1,17949.166,7565.307,Day 48,0.0,,CB-3,N,Not Applicable,121 - 150 Days,FHLB,ENTITY-17,Wealth Management,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-29,I.A.7,USD,Y,SP-1,40153.16,28193.509,Day 10,40926.55,Day 53,S-5,N,Held-to-Maturity,Perpetual,Derivatives,ENTITY-08,Markets,2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-29,I.U.1,USD,Y,,,,Day 7,0.0,,,,,>3 Yr <= 4 Yr,Central Bank,,Prime Brokerage,2026-04-05,GSE,N,33416.408,NULL,N,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-29,I.U.2,USD,N,,,,Day 30,0.0,,,,,Open,Securities Lending,ENTITY-12,Prime Brokerage,2026-04-28,Other Supervised Non-Bank Financial Entity,Y,25492.858,NULL,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-29,I.U.3,HKD,N,,,,>3 Yr <= 4 Yr,0.0,,,,,121 - 150 Days,NULL,,Wealth Management,2029-11-09,Other,N,30585.374,Puttable,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-29,I.U.4,CAD,N,,,,Day 58,0.0,,,,,121 - 150 Days,Central Bank,,Markets,2026-05-26,Bank,Y,30037.944,Extendable,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-29,I.U.5,GBP,N,,,,151 - 179 Days,0.0,,,,,Day 30,Repo,ENTITY-08,Prime Brokerage,2026-09-13,Broker-Dealer,N,7729.311,Callable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-29,I.U.6,CNY,N,,,,Day 13,0.0,,,,,Perpetual,Derivatives,ENTITY-14,Retail Banking,2026-04-11,Other Supervised Non-Bank Financial Entity,Y,32906.414,NULL,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-29,I.U.7,USD,Y,,,,Day 9,0.0,,,,,Day 90,Other,,Treasury,2026-04-07,GSE,N,9819.856,Callable,N,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-29,I.U.8,USD,Y,,,,Day 45,29149.928,Day 35,,,,Open,NULL,ENTITY-20,Prime Brokerage,2026-05-13,Non-Regulated Fund,Y,20810.347,Extendable,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-29,I.S.1,GBP,N,SP-5,,,Perpetual,0.0,,A-1-Q,Y,,Day 90,Other,,Markets,,Bank,Y,23510.652,NULL,N,150.0,52039.052,N,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-29,I.S.2,SGD,N,SP-3,,,Day 21,0.0,,A-1-Q,Y,,180 - 270 Days,Repo,ENTITY-04,Markets,2026-04-19,Bank,Y,1410.278,Extendable,Y,631.36,50539.933,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-29,I.S.3,EUR,N,SP-3,,,Day 45,0.0,,A-1-Q,Y,,Perpetual,FHLB,ENTITY-16,Treasury,2026-05-13,Broker-Dealer,Y,6319.112,Puttable,Y,100.0,16048.366,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-29,I.S.4,USD,Y,SP-3,,,Day 54,0.0,,CB-1-Q,Y,,>= 1 Yr <= 2 Yr,Other,ENTITY-04,Wealth Management,2026-05-22,Other,Y,45687.581,NULL,Y,0.0,29232.238,N,N,,,,,,,,,,,,,,,
