Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-30,I.A.1,USD,Y,SP-3,4844.391,36376.207,Perpetual,0.0,,P-1,N,Not Applicable,Day 30,Other,ENTITY-11,Markets,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-30,I.A.2,USD,N,SP-6,9788.138,36796.208,Day 45,45513.905,Day 7,LC-1,N,Held-to-Maturity,Perpetual,Central Bank,ENTITY-10,Commercial Banking,2026-06-14,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-30,I.A.3,USD,Y,SP-3,26160.661,38192.854,121 - 150 Days,47490.099,Day 36,E-1-Q,Y,Not Applicable,Day 1,Other,ENTITY-19,Commercial Banking,2026-09-17,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-30,I.A.4,SGD,N,SP-2,33053.384,41030.647,Day 3,0.0,,E-2,N,Not Applicable,>3 Yr <= 4 Yr,FHLB,ENTITY-18,Retail Banking,2026-05-03,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-30,I.A.5,EUR,N,SP-4,15237.354,39461.302,Day 25,0.0,,A-5,Y,Available-for-Sale,Perpetual,Derivatives,ENTITY-05,Prime Brokerage,2026-05-25,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-30,I.A.6,CAD,N,SP-6,32204.589,10471.455,Day 46,0.0,,G-2,Y,Held-to-Maturity,180 - 270 Days,Derivatives,ENTITY-04,Markets,2026-06-15,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-30,I.A.7,AUD,N,SP-3,277.098,43241.456,Day 6,0.0,,S-6-Q,N,Not Applicable,151 - 179 Days,NULL,ENTITY-12,Treasury,2026-05-06,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-30,I.U.1,CHF,N,,,,Day 55,5305.752,Day 33,,,,271 - 364 Days,Other,ENTITY-07,Wealth Management,2026-06-24,Non-Financial Corporate,N,19352.828,Extendable,Y,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-30,I.U.2,EUR,N,,,,Day 9,22075.038,Day 39,,,,91 - 120 Days,FHLB,ENTITY-17,Markets,2026-05-09,Pension Fund,Y,13451.101,Callable,Y,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-30,I.U.3,USD,Y,,,,Day 16,0.0,,,,,>2 Yr <= 3 Yr,Central Bank,,Commercial Banking,2026-05-16,Other Supervised Non-Bank Financial Entity,Y,18147.146,Extendable,N,1046.71,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-30,I.U.4,CNY,N,,,,Day 13,0.0,,,,,>2 Yr <= 3 Yr,Repo,ENTITY-18,Wealth Management,2026-05-13,Other Supranational,Y,12341.721,Extendable,Y,637.74,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-30,I.U.5,USD,Y,,,,Day 22,0.0,,,,,Day 30,Securities Lending,,Markets,2026-05-22,Broker-Dealer,Y,15287.819,Puttable,N,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-30,I.U.6,CNY,N,,,,Day 15,0.0,,,,,121 - 150 Days,Other,,Wealth Management,2026-05-15,Bank,N,2577.035,Extendable,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-30,I.U.7,SGD,N,,,,91 - 120 Days,0.0,,,,,180 - 270 Days,NULL,,Wealth Management,2026-08-21,PSE,Y,7084.014,NULL,N,222.39,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-30,I.U.8,CAD,N,,,,Day 36,0.0,,,,,91 - 120 Days,NULL,ENTITY-14,Retail Banking,2026-06-05,Bank,Y,2198.521,NULL,Y,50.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-30,I.S.1,USD,Y,SP-9,,,Day 1,0.0,,G-2-Q,Y,,>5 Yr,FHLB,,Retail Banking,2026-05-01,Other Supervised Non-Bank Financial Entity,Y,33805.584,NULL,N,20.0,7123.304,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-30,I.S.2,USD,Y,SP-1,,,Day 27,0.0,,A-2-Q,Y,,>3 Yr <= 4 Yr,FHLB,ENTITY-13,Wealth Management,2026-05-27,Bank,Y,7368.523,NULL,Y,0.0,19661.076,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-30,I.S.3,JPY,N,SP-9,,,Day 3,59135.887,Day 26,A-1-Q,N,,180 - 270 Days,Other,ENTITY-04,Markets,2026-05-03,Investment Company or Advisor,N,36182.261,Callable,Y,1199.18,53402.456,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-30,I.S.4,CNY,N,SP-4,,,Day 40,26798.3,Day 53,A-1-Q,Y,,151 - 179 Days,Repo,,Retail Banking,2026-06-09,Broker-Dealer,N,1225.969,Callable,N,1236.39,6566.38,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-30,I.S.5,USD,Y,SP-7,,,Day 60,36066.541,Day 11,CB-1-Q,N,,Day 60,Central Bank,ENTITY-11,Prime Brokerage,2026-06-29,Bank,Y,20146.566,NULL,Y,382.26,39161.736,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-30,I.S.6,USD,Y,SP-5,,,83 - 90 Days,0.0,,A-1-Q,N,,Day 90,Derivatives,ENTITY-19,Treasury,2026-07-26,Bank,N,32029.91,Extendable,Y,50.0,54257.984,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-30,I.S.7,USD,Y,SP-8,,,Day 2,40877.249,Day 50,G-2-Q,Y,,Perpetual,Other,,Commercial Banking,2026-05-02,Investment Company or Advisor,Y,55356.816,NULL,N,150.0,21932.926,Y,Y,,,,,,,,,,
