Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-12,I.A.1,USD,Y,SP-2,32221.578,6422.91,Day 56,18146.856,Day 60,E-2,Y,Available-for-Sale,Perpetual,Securities Lending,ENTITY-19,Prime Brokerage,2026-06-07,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-12,I.A.2,USD,Y,SP-9,41939.568,33828.077,Day 21,29652.711,Day 59,A-4,N,Not Applicable,>4 Yr <= 5 Yr,FHLB,ENTITY-03,Prime Brokerage,2026-05-03,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-12,I.A.3,SGD,N,SP-6,47075.657,10947.394,Day 55,0.0,,A-2,N,Available-for-Sale,>= 1 Yr <= 2 Yr,FHLB,ENTITY-17,Markets,2026-06-06,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-12,I.A.4,USD,N,SP-9,35516.079,11927.4,Day 23,0.0,,CB-2-Q,N,Held-to-Maturity,>3 Yr <= 4 Yr,Other,ENTITY-08,Prime Brokerage,2026-05-05,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-12,I.A.5,CAD,N,SP-4,45745.047,14832.517,Day 50,36432.329,151 - 179 Days,CB-1-Q,N,Trading Asset,Day 30,Repo,ENTITY-12,Retail Banking,2026-06-01,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-12,I.A.6,USD,Y,SP-1,14106.71,108.632,Day 20,24467.973,Day 40,S-3,Y,Not Applicable,>= 1 Yr <= 2 Yr,Other,ENTITY-18,Commercial Banking,2026-05-02,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-12,I.A.7,USD,Y,SP-2,40709.619,15116.583,Day 21,0.0,,S-2,Y,Trading Asset,Day 60,NULL,ENTITY-07,Treasury,2026-05-03,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-12,I.U.1,JPY,N,,,,61 - 67 Days,0.0,,,,,>3 Yr <= 4 Yr,Securities Lending,,Prime Brokerage,2026-06-18,Financial Market Utility,Y,2630.483,NULL,N,941.05,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-12,I.U.2,USD,Y,,,,Day 16,0.0,,,,,91 - 120 Days,Central Bank,,Treasury,2026-04-28,Non-Financial Corporate,N,1910.882,Extendable,N,1234.51,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-12,I.U.3,AUD,N,,,,Day 56,18856.594,>4 Yr <= 5 Yr,,,,>3 Yr <= 4 Yr,Repo,ENTITY-16,Prime Brokerage,2026-06-07,Bank,N,1027.616,Extendable,Y,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-12,I.U.4,USD,Y,,,,Day 14,0.0,,,,,Day 90,Derivatives,ENTITY-19,Markets,2026-04-26,Small Business,N,5601.284,NULL,Y,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-12,I.U.5,USD,Y,,,,Day 8,0.0,,,,,>4 Yr <= 5 Yr,NULL,,Commercial Banking,2026-04-20,Non-Regulated Fund,N,19731.894,Puttable,N,735.78,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-12,I.U.6,USD,Y,,,,>4 Yr <= 5 Yr,0.0,,,,,>4 Yr <= 5 Yr,Repo,,Treasury,2030-05-06,Financial Market Utility,Y,1628.19,Callable,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-12,I.U.7,HKD,N,,,,>4 Yr <= 5 Yr,0.0,,,,,>4 Yr <= 5 Yr,Central Bank,ENTITY-17,Markets,2030-12-31,PSE,N,5522.702,Callable,Y,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-12,I.U.8,USD,N,,,,Day 21,0.0,,,,,271 - 364 Days,Securities Lending,,Retail Banking,2026-05-03,Investment Company or Advisor,Y,7763.221,Puttable,N,0.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.1,USD,Y,SP-5,,,Day 26,0.0,,A-1-Q,Y,,271 - 364 Days,NULL,,Commercial Banking,2026-05-08,Bank,Y,29536.17,Extendable,N,0.0,17667.419,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.2,USD,Y,SP-8,,,180 - 270 Days,50091.948,Day 16,G-2-Q,N,,180 - 270 Days,Derivatives,,Retail Banking,2026-10-25,Broker-Dealer,N,2728.448,Puttable,N,50.0,22226.351,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.3,USD,Y,SP-8,,,Day 55,0.0,,A-1-Q,Y,,121 - 150 Days,Securities Lending,ENTITY-07,Commercial Banking,2026-06-06,Bank,N,15292.302,Puttable,Y,150.0,31730.275,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.4,USD,Y,SP-8,,,Day 7,15820.092,Day 48,G-2-Q,N,,91 - 120 Days,Derivatives,,Markets,2026-04-19,Broker-Dealer,Y,6450.976,NULL,N,100.0,12611.584,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.5,USD,Y,SP-3,,,Day 33,36985.055,Day 57,G-2-Q,N,,151 - 179 Days,Other,,Treasury,2026-05-15,Broker-Dealer,Y,13308.365,NULL,N,50.0,9096.613,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.6,USD,Y,SP-4,,,Day 7,47897.207,121 - 150 Days,CB-1-Q,N,,121 - 150 Days,Central Bank,ENTITY-06,Commercial Banking,2026-04-19,Bank,Y,30994.253,NULL,Y,249.3,22627.196,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.7,USD,N,SP-7,,,Day 48,21370.547,Day 26,G-2-Q,Y,,>5 Yr,Repo,ENTITY-04,Treasury,2026-05-30,Bank,N,20951.588,Extendable,Y,50.0,12063.994,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.8,USD,Y,SP-8,,,91 - 120 Days,24891.953,Day 56,CB-1-Q,Y,,Day 1,Other,,Wealth Management,2026-07-30,Broker-Dealer,Y,35078.035,Puttable,N,877.52,5928.764,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.9,CHF,N,SP-7,,,Day 32,0.0,,G-2-Q,N,,Day 60,FHLB,,Markets,2026-05-14,Broker-Dealer,Y,37113.154,NULL,N,100.0,53228.286,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-12,I.S.10,GBP,N,SP-5,,,Day 35,0.0,,A-1-Q,Y,,>5 Yr,Securities Lending,,Commercial Banking,2026-05-17,Bank,N,33872.036,Puttable,N,20.0,44416.802,N,N,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.1,USD,Y,,,,Day 54,0.0,,S-7-Q,N,,,,ENTITY-14,Commercial Banking,2026-06-05,Other,N,13922.087,,Y,,392.073,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.2,GBP,N,,,,Day 56,0.0,,S-3-Q,Y,,,,ENTITY-01,Prime Brokerage,2026-06-07,Financial Market Utility,N,12915.483,,Y,,2875.868,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.3,AUD,N,,,,Day 55,0.0,,G-3,Y,,,,ENTITY-17,Retail Banking,2026-06-06,Other,Y,3035.191,,Y,,13470.353,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.4,EUR,N,,,,>= 1 Yr <= 2 Yr,0.0,,A-3,Y,,,,,Wealth Management,2027-06-20,Debt Issuing SPE,N,12800.893,,N,,10791.989,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.5,USD,Y,,,,Day 21,0.0,,CB-1,N,,,,ENTITY-15,Markets,2026-05-03,MDB,Y,5629.088,,Y,,9286.249,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.6,USD,Y,,,,Day 13,0.0,,E-2-Q,N,,,,,Wealth Management,2026-04-25,Central Bank,Y,8021.23,,N,,2228.579,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.7,CHF,N,,,,Day 32,0.0,,G-1,N,,,,,Markets,2026-05-14,Non-Regulated Fund,N,4177.185,,N,,1702.648,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.8,USD,Y,,,,Day 32,4031.146,>3 Yr <= 4 Yr,CB-2-Q,N,,,,ENTITY-06,Retail Banking,2026-05-14,Small Business,N,9303.104,,Y,,11734.531,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-12,I.O.9,USD,Y,,,,Day 34,0.0,,G-1-Q,N,,,,,Retail Banking,2026-05-16,Other,N,137.176,,N,,13841.293,,,,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.1,USD,Y,,,,Day 51,0.0,,A-2-Q,,,,,ENTITY-06,Prime Brokerage,2026-06-02,Financial Market Utility,Y,11063.461,Extendable,Y,,31470.28,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.2,AUD,N,,,,Day 54,32151.71,Day 36,S-5,,,,,ENTITY-03,Retail Banking,2026-06-05,Financial Market Utility,N,26817.284,Callable,Y,,13377.298,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.3,USD,Y,,,,Day 8,0.0,,CB-1-Q,,,,,ENTITY-02,Wealth Management,2026-04-20,Broker-Dealer,N,33672.424,Callable,Y,,26519.878,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.4,USD,Y,,,,Day 32,0.0,,P-2,,,,,,Prime Brokerage,2026-05-14,Bank,Y,31085.722,NULL,N,,2119.707,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.5,CAD,N,,,,Day 46,32385.288,Day 10,S-7-Q,,,,,,Treasury,2026-05-28,Bank,N,33246.875,Extendable,N,,8086.314,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.6,USD,Y,,,,>3 Yr <= 4 Yr,0.0,,S-7-Q,,,,,,Commercial Banking,2029-06-01,Financial Market Utility,Y,19853.609,Extendable,N,,3537.32,,,Capital,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.7,USD,Y,,,,Day 11,6620.281,91 - 120 Days,S-4,,,,,,Treasury,2026-04-23,Financial Market Utility,Y,13143.474,Callable,N,,22198.334,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.8,USD,N,,,,>2 Yr <= 3 Yr,0.0,,E-2-Q,,,,,,Commercial Banking,2029-01-02,Financial Market Utility,Y,17610.698,Callable,N,,28206.982,,,TLAC,,,,,,,,,
Outflows,Wholesale,Wells,2026-04-12,O.W.9,USD,Y,,,,Day 3,0.0,,G-2-Q,,,,,ENTITY-07,Prime Brokerage,2026-04-15,Bank,Y,25261.163,NULL,Y,,37451.801,,,Capital,,,,,,,,,
