Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-03-22,I.A.1,AUD,N,SP-2,46036.297,12673.234,Day 52,40388.557,Day 42,CB-1,Y,Trading Asset,151 - 179 Days,FHLB,ENTITY-14,Prime Brokerage,2026-05-13,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-22,I.A.2,USD,Y,SP-7,15412.119,36898.265,Day 33,49744.543,271 - 364 Days,IG-1-Q,Y,Trading Asset,Perpetual,FHLB,ENTITY-15,Retail Banking,2026-04-24,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-22,I.A.3,USD,Y,SP-8,35830.048,4127.096,Day 10,0.0,,S-4-Q,Y,Trading Asset,Day 1,NULL,ENTITY-18,Commercial Banking,2026-04-01,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-22,I.A.4,CAD,N,SP-8,34221.952,12329.965,Day 27,0.0,,G-3-Q,Y,Held-to-Maturity,Day 90,Central Bank,ENTITY-03,Markets,2026-04-18,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-22,I.A.5,JPY,N,SP-9,32056.736,26218.604,Day 49,30021.145,Day 13,G-2-Q,Y,Not Applicable,>= 1 Yr <= 2 Yr,FHLB,ENTITY-09,Commercial Banking,2026-05-10,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-22,I.A.6,GBP,N,SP-5,19618.656,30507.652,Day 35,0.0,,CB-3,Y,Available-for-Sale,>3 Yr <= 4 Yr,Derivatives,ENTITY-01,Markets,2026-04-26,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-22,I.A.7,USD,Y,SP-7,14550.735,36024.927,Day 42,25101.826,151 - 179 Days,S-5,N,Held-to-Maturity,180 - 270 Days,Securities Lending,ENTITY-10,Prime Brokerage,2026-05-03,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-22,I.U.1,USD,Y,,,,>3 Yr <= 4 Yr,0.0,,,,,Day 30,Central Bank,ENTITY-06,Wealth Management,2029-05-10,Other Supervised Non-Bank Financial Entity,N,14647.739,NULL,Y,92.48,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-22,I.U.2,AUD,N,,,,Day 13,0.0,,,,,>= 1 Yr <= 2 Yr,Repo,ENTITY-01,Prime Brokerage,2026-04-04,Small Business,N,7266.385,Extendable,Y,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-22,I.U.3,USD,Y,,,,Day 30,0.0,,,,,>5 Yr,FHLB,ENTITY-14,Markets,2026-04-21,GSE,N,664.599,Puttable,Y,50.0,,,,,,,,,,,,,
