Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-03-21,I.A.1,USD,Y,SP-6,8889.073,28142.59,Day 47,0.0,,S-5-Q,N,Available-for-Sale,Open,FHLB,ENTITY-09,Wealth Management,2026-05-07,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-21,I.A.2,USD,Y,SP-9,47845.631,27137.293,Day 50,0.0,,S-2,N,Not Applicable,>3 Yr <= 4 Yr,Repo,ENTITY-04,Wealth Management,2026-05-10,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-21,I.A.3,EUR,N,SP-4,49357.156,6024.64,Day 25,46725.168,Day 42,E-1,Y,Trading Asset,>2 Yr <= 3 Yr,Repo,ENTITY-03,Retail Banking,2026-04-15,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-21,I.A.4,USD,Y,SP-5,5200.087,33870.316,Day 4,0.0,,CB-2-Q,Y,Not Applicable,151 - 179 Days,Repo,ENTITY-03,Retail Banking,2026-03-25,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-21,I.A.5,CHF,N,SP-2,40093.878,28617.227,61 - 67 Days,0.0,,CB-1-Q,Y,Not Applicable,Perpetual,FHLB,ENTITY-10,Wealth Management,2026-05-22,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-21,I.A.6,EUR,N,SP-3,24786.479,13378.32,Day 17,4045.358,Day 28,A-5-Q,N,Trading Asset,Open,Central Bank,ENTITY-16,Wealth Management,2026-04-07,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-21,I.A.7,USD,N,SP-7,40823.48,31115.857,Day 53,0.0,,A-5-Q,N,Not Applicable,91 - 120 Days,Derivatives,ENTITY-03,Commercial Banking,2026-05-13,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-21,I.U.1,HKD,N,,,,Day 27,0.0,,,,,>2 Yr <= 3 Yr,Central Bank,ENTITY-15,Markets,2026-04-17,Non-Regulated Fund,N,4072.722,Extendable,Y,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-21,I.U.2,USD,Y,,,,Day 21,4020.655,Day 1,,,,>4 Yr <= 5 Yr,Other,,Commercial Banking,2026-04-11,Debt Issuing SPE,Y,36.105,Extendable,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-21,I.U.3,USD,Y,,,,Day 43,0.0,,,,,Day 30,Central Bank,,Markets,2026-05-03,Financial Market Utility,N,10590.843,Puttable,N,50.0,,,,,,,,,,,,,
