Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,CapOne,2026-04-30,I.A.1,USD,Y,SP-8,30084.49,9311.466,Day 7,0.0,,S-6-Q,Y,Trading Asset,180 - 270 Days,Central Bank,ENTITY-05,Retail Banking,2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-04-30,I.A.2,USD,Y,SP-5,1624.498,18985.778,Day 17,0.0,,S-7-Q,N,Trading Asset,>= 1 Yr <= 2 Yr,Other,ENTITY-03,Commercial Banking,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-04-30,I.A.3,JPY,N,SP-8,34848.072,11639.369,Day 9,0.0,,E-1,Y,Trading Asset,91 - 120 Days,Central Bank,ENTITY-08,Prime Brokerage,2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-04-30,I.A.4,USD,Y,SP-2,1861.274,10472.883,Day 29,0.0,,S-4,Y,Held-to-Maturity,Perpetual,Securities Lending,ENTITY-12,Commercial Banking,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-04-30,I.A.5,USD,Y,SP-2,15328.82,39370.171,Day 17,0.0,,S-3,N,Trading Asset,Day 90,Securities Lending,ENTITY-15,Retail Banking,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-04-30,I.A.6,USD,Y,SP-1,36867.574,11358.13,61 - 67 Days,0.0,,G-2-Q,Y,Available-for-Sale,180 - 270 Days,FHLB,ENTITY-02,Markets,2026-07-03,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-04-30,I.A.7,USD,Y,SP-4,10754.089,1372.471,Day 19,0.0,,S-2-Q,Y,Not Applicable,>2 Yr <= 3 Yr,NULL,ENTITY-04,Markets,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-04-30,I.U.1,USD,Y,,,,Day 7,0.0,,,,,121 - 150 Days,Central Bank,,Markets,2026-05-07,Small Business,N,35440.604,Extendable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-04-30,I.U.2,CNY,N,,,,Day 59,10215.698,Day 44,,,,Open,NULL,,Markets,2026-06-28,Other Supervised Non-Bank Financial Entity,Y,10339.514,NULL,N,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-04-30,I.U.2,CHF,N,,,,Day 6,47696.906,Day 33,,,,>2 Yr <= 3 Yr,Repo,,Wealth Management,2026-05-06,Non-Financial Corporate,N,37279.77,NULL,N,100.0,,,,,,,,,,,,,,,,,,
