Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-21,I.A.1,USD,Y,SP-5,45862.422,28444.043,Day 1,0.0,,G-1,N,Trading Asset,121 - 150 Days,Derivatives,ENTITY-10,Commercial Banking,2026-04-22,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-21,I.A.2,JPY,N,SP-2,29877.377,40597.703,Day 18,0.0,,S-7,N,Held-to-Maturity,>3 Yr <= 4 Yr,Securities Lending,ENTITY-08,Commercial Banking,2026-05-09,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-21,I.A.3,USD,Y,SP-9,13057.542,18964.08,Day 19,12444.45,Open,CB-1,N,Held-to-Maturity,180 - 270 Days,FHLB,ENTITY-04,Commercial Banking,2026-05-10,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-21,I.A.4,USD,Y,SP-2,19088.21,10367.728,Day 6,2571.987,Day 30,G-3-Q,Y,Held-to-Maturity,91 - 120 Days,Securities Lending,ENTITY-17,Commercial Banking,2026-04-27,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-21,I.A.5,USD,N,SP-1,43182.424,46106.439,Day 55,0.0,,G-2,N,Trading Asset,Day 90,Repo,ENTITY-15,Wealth Management,2026-06-15,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-21,I.A.6,USD,Y,SP-3,2734.96,46950.64,Day 16,0.0,,IG-1,N,Available-for-Sale,>3 Yr <= 4 Yr,Central Bank,ENTITY-17,Wealth Management,2026-05-07,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-21,I.A.7,USD,Y,SP-1,37476.075,25744.538,Day 41,9594.581,Day 28,LC-1,Y,Available-for-Sale,>= 1 Yr <= 2 Yr,NULL,ENTITY-04,Treasury,2026-06-01,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-21,I.U.1,CAD,N,,,,271 - 364 Days,0.0,,,,,151 - 179 Days,Derivatives,,Treasury,2027-02-09,Debt Issuing SPE,Y,24207.123,Extendable,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-21,I.U.2,CNY,N,,,,83 - 90 Days,10254.478,Day 59,,,,>2 Yr <= 3 Yr,Other,ENTITY-20,Markets,2026-07-15,Investment Company or Advisor,N,5566.39,Puttable,Y,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-21,I.U.3,SGD,N,,,,83 - 90 Days,0.0,,,,,151 - 179 Days,Derivatives,,Treasury,2026-07-20,Sovereign,N,21300.281,NULL,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-21,I.U.4,USD,Y,,,,Day 48,23665.662,Day 24,,,,121 - 150 Days,Central Bank,,Prime Brokerage,2026-06-08,MDB,Y,6629.8,Puttable,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-21,I.U.5,CHF,N,,,,Day 39,0.0,,,,,Open,Other,ENTITY-11,Wealth Management,2026-05-30,Bank,N,1307.044,NULL,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-21,I.U.6,AUD,N,,,,Day 13,6824.243,Day 46,,,,180 - 270 Days,Derivatives,,Prime Brokerage,2026-05-04,Financial Market Utility,Y,4940.646,NULL,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-21,I.U.7,EUR,N,,,,Day 3,0.0,,,,,121 - 150 Days,Derivatives,,Retail Banking,2026-04-24,Financial Market Utility,Y,5251.231,Callable,N,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-21,I.U.8,HKD,N,,,,Day 41,0.0,,,,,121 - 150 Days,Derivatives,ENTITY-17,Treasury,2026-06-01,MDB,Y,8033.586,Puttable,Y,20.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-21,I.S.1,USD,Y,SP-3,,,Day 31,0.0,,A-1-Q,Y,,Perpetual,NULL,ENTITY-07,Markets,2026-05-22,Bank,Y,54381.72,NULL,Y,0.0,40746.757,N,Y,,,,,,,,,,
