Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,USWest,2026-04-12,I.A.1,HKD,N,SP-8,7316803500000.0,18383743000000.0,68 - 74 Days,0.0,,S-8,N,Available-for-Sale,121 - 150 Days,NULL,ENTITY-04,Prime Brokerage,2026-06-19,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-04-12,I.A.2,USD,Y,SP-1,10190821500000.0,18434629000000.0,151 - 179 Days,4987529500000.0,Day 15,S-7,N,Not Applicable,121 - 150 Days,FHLB,ENTITY-14,Wealth Management,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-04-12,I.A.3,USD,Y,SP-9,2930237000000.0,20561242500000.0,Day 7,0.0,,C-1,N,Trading Asset,>3 Yr <= 4 Yr,FHLB,ENTITY-15,Wealth Management,2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-04-12,I.A.4,EUR,N,SP-2,2888938000000.0,20100287000000.0,Day 40,0.0,,S-6,N,Trading Asset,121 - 150 Days,Other,ENTITY-20,Markets,2026-05-22,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-04-12,I.A.5,USD,Y,SP-8,24346015500000.0,18110500500000.0,>= 1 Yr <= 2 Yr,0.0,,A-3,N,Available-for-Sale,121 - 150 Days,Central Bank,ENTITY-05,Prime Brokerage,2027-11-20,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-04-12,I.A.6,USD,Y,SP-1,2741956500000.0,22838042500000.0,Day 43,0.0,,IG-2,Y,Trading Asset,121 - 150 Days,Derivatives,ENTITY-02,Markets,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-04-12,I.A.7,CNY,N,SP-2,16045100500000.0,12471953000000.0,Day 27,0.0,,A-4,Y,Held-to-Maturity,Perpetual,FHLB,ENTITY-17,Treasury,2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-04-12,I.U.1,USD,Y,,,,Day 50,0.0,,,,,Day 60,Central Bank,,Retail Banking,2026-06-01,Debt Issuing SPE,N,46111.999,Extendable,N,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-04-12,I.U.2,USD,Y,,,,271 - 364 Days,0.0,,,,,91 - 120 Days,FHLB,ENTITY-03,Retail Banking,2027-01-08,MDB,N,17071.923,Callable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-04-12,I.U.3,USD,Y,,,,Day 56,0.0,,,,,>= 1 Yr <= 2 Yr,FHLB,ENTITY-03,Commercial Banking,2026-06-07,Other Supranational,N,18519.086,NULL,Y,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-04-12,I.U.4,EUR,N,,,,Day 35,0.0,,,,,Day 60,FHLB,ENTITY-08,Treasury,2026-05-17,Central Bank,Y,32828.323,NULL,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-04-12,I.U.5,CNY,N,,,,83 - 90 Days,0.0,,,,,91 - 120 Days,Central Bank,,Markets,2026-07-11,Broker-Dealer,N,47923.25,Extendable,N,843.31,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-04-12,I.U.6,USD,Y,,,,Day 42,8269.72,Day 8,,,,91 - 120 Days,Repo,ENTITY-07,Markets,2026-05-24,Pension Fund,N,8088.468,Puttable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-04-12,I.U.7,CHF,N,,,,Open,0.0,,,,,Perpetual,FHLB,ENTITY-16,Treasury,,Other,Y,39501.966,Callable,Y,1144.39,,,,,,,,,,,,,,,,,,
