Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,CapOne,2026-01-01,I.A.1,SGD,N,SP-3,13285.342,32092.472,Day 47,0.0,,P-2,Y,Not Applicable,Perpetual,Central Bank,ENTITY-09,Commercial Banking,2026-02-17,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-01-01,I.A.1,GBP,N,SP-8,24164.193,11250.75,Day 27,38075.558,Day 26,S-1-Q,N,Not Applicable,91 - 120 Days,NULL,ENTITY-08,Prime Brokerage,2026-01-28,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-01-01,I.A.2,USD,Y,SP-8,7965.89,22283.911,Day 15,0.0,,IG-2,Y,Available-for-Sale,271 - 364 Days,Repo,ENTITY-07,Prime Brokerage,2026-01-16,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-01-01,I.A.3,USD,Y,SP-6,19784.328,17505.905,Day 27,0.0,,S-1,N,Trading Asset,91 - 120 Days,FHLB,ENTITY-13,Retail Banking,2026-01-28,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-01-01,I.A.4,USD,Y,SP-5,38849.75,29165.549,Day 17,0.0,,S-5,Y,Held-to-Maturity,Day 30,NULL,ENTITY-18,Wealth Management,2026-01-18,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-01-01,I.A.5,USD,Y,SP-5,10952.021,8177.654,Day 17,0.0,,E-2-Q,N,Trading Asset,180 - 270 Days,Other,ENTITY-14,Treasury,2026-01-18,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-01-01,I.A.6,USD,Y,SP-8,13539.374,4585.663,Day 36,0.0,,G-3,Y,Not Applicable,91 - 120 Days,Derivatives,ENTITY-12,Prime Brokerage,2026-02-06,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,CapOne,2026-01-01,I.A.7,USD,Y,SP-7,24723.262,1827.762,Day 40,10488.095,61 - 67 Days,S-6-Q,Y,Held-to-Maturity,Day 1,Other,ENTITY-12,Markets,2026-02-10,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.1,GBP,N,,,,Day 40,0.0,,,,,151 - 179 Days,Securities Lending,,Wealth Management,2026-02-10,GSE,Y,24895.85,Extendable,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.1,CAD,N,,,,Day 39,36243.428,121 - 150 Days,,,,Day 90,Securities Lending,,Markets,2026-02-09,Central Bank,N,12336.38,NULL,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.1,AUD,N,,,,68 - 74 Days,0.0,,,,,>= 1 Yr <= 2 Yr,Repo,,Prime Brokerage,2026-03-11,MDB,Y,28006.754,Puttable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.2,USD,Y,,,,Day 59,0.0,,,,,>2 Yr <= 3 Yr,Derivatives,ENTITY-12,Retail Banking,2026-03-01,Non-Financial Corporate,N,11986.039,Callable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.2,AUD,N,,,,Day 7,0.0,,,,,Day 1,Central Bank,,Commercial Banking,2026-01-08,Other,N,46774.662,Callable,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.2,GBP,N,,,,Day 45,41609.482,68 - 74 Days,,,,271 - 364 Days,Central Bank,ENTITY-16,Prime Brokerage,2026-02-15,MDB,Y,10116.558,Extendable,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.2,USD,Y,,,,180 - 270 Days,21997.802,Day 47,,,,121 - 150 Days,FHLB,ENTITY-03,Retail Banking,2026-07-19,Other Supranational,Y,12923.194,NULL,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.3,USD,Y,,,,Day 9,0.0,,,,,Day 30,Securities Lending,ENTITY-12,Wealth Management,2026-01-10,MDB,Y,40241.667,Extendable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.3,USD,N,,,,>5 Yr,0.0,,,,,Open,Repo,,Prime Brokerage,2031-11-10,Other Supervised Non-Bank Financial Entity,Y,42736.053,Puttable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.3,USD,N,,,,Day 8,0.0,,,,,>2 Yr <= 3 Yr,FHLB,ENTITY-13,Wealth Management,2026-01-09,PSE,Y,49553.673,Puttable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.4,USD,Y,,,,Day 56,0.0,,,,,Day 60,Central Bank,ENTITY-15,Commercial Banking,2026-02-26,MDB,N,46722.211,Puttable,Y,76.49,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.5,USD,Y,,,,Day 18,0.0,,,,,121 - 150 Days,FHLB,,Prime Brokerage,2026-01-19,Other Supervised Non-Bank Financial Entity,Y,13236.532,Puttable,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.5,AUD,N,,,,Day 38,0.0,,,,,Day 60,Derivatives,,Wealth Management,2026-02-08,PSE,Y,9270.006,Callable,N,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,CapOne,2026-01-01,I.U.5,USD,Y,,,,Day 58,0.0,,,,,91 - 120 Days,Central Bank,,Markets,2026-02-28,Retail,N,5519.56,Callable,N,100.0,,,,,,,,,,,,,,,,,,
