Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,BoFA,2026-02-05,I.A.1,USD,Y,SP-6,21424.23,12764.63,Day 44,0.0,,S-1,Y,Trading Asset,>5 Yr,NULL,ENTITY-07,Wealth Management,2026-03-21,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-02-05,I.A.2,USD,Y,SP-4,7079.62,27358.436,Day 47,0.0,,S-6,Y,Not Applicable,Open,Derivatives,ENTITY-01,Commercial Banking,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-02-05,I.A.3,USD,Y,SP-2,11109.492,429.793,Day 56,0.0,,A-2,Y,Available-for-Sale,151 - 179 Days,Other,ENTITY-09,Retail Banking,2026-04-02,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-02-05,I.A.4,USD,Y,SP-8,23751.052,11966.079,271 - 364 Days,0.0,,IG-1-Q,N,Available-for-Sale,>3 Yr <= 4 Yr,FHLB,ENTITY-15,Wealth Management,2027-01-09,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-02-05,I.A.5,EUR,N,SP-9,35980.167,7377.537,Day 1,0.0,,G-3,N,Held-to-Maturity,151 - 179 Days,Derivatives,ENTITY-09,Wealth Management,2026-02-06,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-02-05,I.A.6,CNY,N,SP-9,32943.556,38199.859,Day 48,0.0,,Z-1,Y,Trading Asset,180 - 270 Days,NULL,ENTITY-02,Treasury,2026-03-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-02-05,I.A.7,AUD,N,SP-2,7345.109,2643.681,75 - 82 Days,49084.777,>4 Yr <= 5 Yr,S-4-Q,N,Trading Asset,Open,NULL,ENTITY-11,Wealth Management,2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-02-05,I.U.1,EUR,N,,,,Day 22,0.0,,,,,>4 Yr <= 5 Yr,NULL,ENTITY-03,Retail Banking,2026-02-27,GSE,Y,6237.178,Extendable,Y,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-02-05,I.U.2,GBP,N,,,,271 - 364 Days,0.0,,,,,121 - 150 Days,FHLB,,Prime Brokerage,2027-01-12,Other Supranational,N,38536.362,Callable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-02-05,I.U.3,USD,Y,,,,Day 48,0.0,,,,,Day 60,FHLB,,Commercial Banking,2026-03-25,Bank,Y,6031.372,NULL,N,50.0,,,,,,,,,,,,,,,,,,
