Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-03-02,I.A.1,CAD,N,SP-7,29350.236,17396.232,Day 58,30868.134,Day 18,CB-3,Y,Held-to-Maturity,>= 1 Yr <= 2 Yr,NULL,ENTITY-08,Commercial Banking,2026-04-29,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-02,I.A.2,GBP,N,SP-7,9287.685,31775.082,Day 22,0.0,,CB-3-Q,Y,Held-to-Maturity,>= 1 Yr <= 2 Yr,Other,ENTITY-15,Markets,2026-03-24,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-02,I.A.3,JPY,N,SP-9,25271.901,24748.492,68 - 74 Days,0.0,,CB-1,Y,Available-for-Sale,Open,Other,ENTITY-08,Commercial Banking,2026-05-09,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-02,I.A.4,CNY,N,SP-9,25540.299,28635.703,Day 34,0.0,,G-2,Y,Not Applicable,121 - 150 Days,Derivatives,ENTITY-04,Wealth Management,2026-04-05,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-02,I.A.5,USD,Y,SP-8,43264.524,5869.301,Day 30,0.0,,S-8,N,Not Applicable,91 - 120 Days,FHLB,ENTITY-05,Retail Banking,2026-04-01,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-02,I.A.6,USD,Y,SP-6,48950.008,14631.735,>4 Yr <= 5 Yr,0.0,,IG-2,Y,Held-to-Maturity,>4 Yr <= 5 Yr,NULL,ENTITY-09,Wealth Management,2030-05-05,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-03-02,I.A.7,USD,Y,SP-7,24472.936,28871.276,Day 34,0.0,,S-2,Y,Available-for-Sale,>3 Yr <= 4 Yr,FHLB,ENTITY-09,Wealth Management,2026-04-05,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-02,I.U.1,USD,Y,,,,180 - 270 Days,20621.191,68 - 74 Days,,,,121 - 150 Days,Derivatives,,Markets,2026-11-10,Other Supervised Non-Bank Financial Entity,N,21252.656,Extendable,N,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-02,I.U.2,USD,Y,,,,Day 20,0.0,,,,,>5 Yr,NULL,ENTITY-05,Commercial Banking,2026-03-22,Sovereign,N,407.034,Extendable,Y,377.33,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-03-02,I.U.3,USD,Y,,,,Day 29,2379.592,Day 43,,,,Day 30,Central Bank,,Markets,2026-03-31,Investment Company or Advisor,N,18149.709,Extendable,N,20.0,,,,,,,,,,,,,
