Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,Chase,2026-03-08,I.A.1,AUD,N,SP-5,32432.747,12425.528,Day 30,0.0,,E-1-Q,Y,Not Applicable,180 - 270 Days,Repo,ENTITY-13,Wealth Management,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-08,I.A.2,USD,Y,SP-1,36041.32,41448.276,Day 53,20205.571,Day 37,IG-2-Q,Y,Not Applicable,151 - 179 Days,Securities Lending,ENTITY-05,Prime Brokerage,2026-04-30,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-08,I.A.3,USD,N,SP-2,21847.324,1118.639,61 - 67 Days,0.0,,P-1,Y,Held-to-Maturity,Day 1,Securities Lending,ENTITY-15,Markets,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-08,I.A.4,USD,Y,SP-7,18259.179,28632.659,Day 49,44268.919,68 - 74 Days,E-2,N,Held-to-Maturity,>= 1 Yr <= 2 Yr,Central Bank,ENTITY-01,Retail Banking,2026-04-26,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-08,I.A.5,EUR,N,SP-7,19434.839,4692.153,Day 3,16391.36,Day 35,G-1,N,Held-to-Maturity,>3 Yr <= 4 Yr,Other,ENTITY-06,Commercial Banking,2026-03-11,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-08,I.A.6,CHF,N,SP-4,34058.925,13955.652,Day 52,0.0,,S-7-Q,Y,Not Applicable,Day 30,Other,ENTITY-02,Wealth Management,2026-04-29,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-08,I.A.7,USD,Y,SP-3,16257.638,22079.795,Day 14,0.0,,CB-2,Y,Available-for-Sale,121 - 150 Days,Central Bank,ENTITY-03,Wealth Management,2026-03-22,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-08,I.U.1,USD,Y,,,,Day 23,23276.185,Day 23,,,,151 - 179 Days,Repo,ENTITY-08,Wealth Management,2026-03-31,Debt Issuing SPE,Y,5754.32,Puttable,Y,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-08,I.U.2,HKD,N,,,,Day 39,41479.948,Day 2,,,,Day 30,Derivatives,,Commercial Banking,2026-04-16,Central Bank,N,46867.197,Callable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-08,I.U.3,CNY,N,,,,Day 56,0.0,,,,,>5 Yr,Central Bank,,Markets,2026-05-03,Bank,Y,44548.752,NULL,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-08,I.U.4,USD,N,,,,Day 25,0.0,,,,,151 - 179 Days,Securities Lending,,Markets,2026-04-02,Sovereign,Y,39692.886,Callable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-08,I.U.5,USD,Y,,,,Day 36,0.0,,,,,Day 90,FHLB,ENTITY-07,Prime Brokerage,2026-04-13,Broker-Dealer,Y,17857.409,Callable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-08,I.U.6,GBP,N,,,,Day 59,0.0,,,,,Perpetual,Other,,Treasury,2026-05-06,Debt Issuing SPE,Y,49640.7,Extendable,N,50.0,,,,,,,,,,,,,,,,,,
