Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-25,I.A.1,AUD,N,SP-5,38109.611,2127.569,>5 Yr,0.0,,G-2-Q,N,Held-to-Maturity,271 - 364 Days,FHLB,ENTITY-09,Commercial Banking,2033-06-01,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-25,I.A.2,USD,Y,SP-7,38074.657,3020.651,Day 6,0.0,,S-2-Q,N,Held-to-Maturity,151 - 179 Days,Other,ENTITY-17,Markets,2026-05-01,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-25,I.A.3,USD,Y,SP-9,11211.026,39747.754,Day 59,0.0,,G-1-Q,N,Held-to-Maturity,271 - 364 Days,NULL,ENTITY-16,Markets,2026-06-23,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-25,I.A.4,JPY,N,SP-1,34993.511,43602.485,Day 14,35387.296,Day 51,S-1,Y,Held-to-Maturity,>4 Yr <= 5 Yr,Securities Lending,ENTITY-03,Commercial Banking,2026-05-09,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-25,I.A.5,SGD,N,SP-2,33933.078,29735.55,Day 29,0.0,,S-8,Y,Available-for-Sale,>= 1 Yr <= 2 Yr,Other,ENTITY-07,Markets,2026-05-24,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-25,I.A.6,CNY,N,SP-5,33185.683,22829.497,61 - 67 Days,0.0,,CB-1-Q,N,Held-to-Maturity,>3 Yr <= 4 Yr,Repo,ENTITY-13,Prime Brokerage,2026-06-25,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-25,I.A.7,USD,Y,SP-5,40748.098,6206.685,Day 23,0.0,,S-3,Y,Not Applicable,91 - 120 Days,NULL,ENTITY-19,Wealth Management,2026-05-18,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-25,I.U.1,USD,Y,,,,Day 6,0.0,,,,,>5 Yr,NULL,,Treasury,2026-05-01,Other,N,9027.092,Puttable,N,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-25,I.U.2,USD,Y,,,,Day 48,0.0,,,,,91 - 120 Days,Securities Lending,,Wealth Management,2026-06-12,MDB,Y,20424.465,Callable,N,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-25,I.U.3,USD,Y,,,,Day 59,0.0,,,,,151 - 179 Days,Securities Lending,ENTITY-03,Commercial Banking,2026-06-23,Other Supranational,Y,19897.42,Extendable,Y,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-25,I.U.4,JPY,N,,,,Day 60,0.0,,,,,91 - 120 Days,Securities Lending,ENTITY-09,Commercial Banking,2026-06-24,Central Bank,Y,1360.21,Extendable,Y,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-25,I.U.5,USD,Y,,,,Open,0.0,,,,,>5 Yr,Repo,,Wealth Management,,Small Business,Y,5713.143,Puttable,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-25,I.U.6,USD,Y,,,,Day 54,0.0,,,,,Day 60,Central Bank,ENTITY-08,Commercial Banking,2026-06-18,Other Supervised Non-Bank Financial Entity,Y,21180.422,Extendable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-25,I.U.7,AUD,N,,,,Day 28,0.0,,,,,>4 Yr <= 5 Yr,Securities Lending,ENTITY-18,Markets,2026-05-23,Bank,Y,15674.654,Puttable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-25,I.U.8,USD,Y,,,,Day 20,0.0,,,,,151 - 179 Days,Central Bank,ENTITY-12,Prime Brokerage,2026-05-15,PSE,N,4415.748,Puttable,Y,50.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-25,I.S.1,USD,Y,SP-4,,,Day 22,0.0,,CB-1-Q,Y,,271 - 364 Days,Repo,ENTITY-01,Markets,2026-05-17,Bank,Y,56731.154,Puttable,Y,0.0,4491.232,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-25,I.S.2,SGD,N,SP-8,,,Day 48,0.0,,G-2-Q,Y,,Perpetual,NULL,,Retail Banking,2026-06-12,Investment Company or Advisor,Y,38721.618,Puttable,N,0.0,55457.486,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-25,I.S.3,USD,Y,SP-8,,,Day 48,0.0,,A-1-Q,Y,,Perpetual,FHLB,,Retail Banking,2026-06-12,Bank,Y,18184.976,Puttable,N,615.02,46532.641,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-25,I.S.4,GBP,N,SP-7,,,Day 29,0.0,,A-2-Q,Y,,>2 Yr <= 3 Yr,Central Bank,ENTITY-19,Commercial Banking,2026-05-24,Broker-Dealer,Y,4823.255,NULL,Y,100.0,6740.527,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-25,I.S.5,USD,Y,SP-6,,,Day 16,0.0,,A-2-Q,Y,,151 - 179 Days,Derivatives,,Commercial Banking,2026-05-11,Bank,Y,3168.492,NULL,N,150.0,46524.484,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-25,I.S.6,HKD,N,SP-2,,,Day 53,40282.648,>4 Yr <= 5 Yr,A-1-Q,Y,,Day 1,NULL,,Wealth Management,2026-06-17,Broker-Dealer,N,8568.756,Extendable,N,100.0,52183.644,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-25,I.S.7,USD,Y,SP-2,,,Day 45,0.0,,A-2-Q,Y,,>2 Yr <= 3 Yr,Securities Lending,,Prime Brokerage,2026-06-09,Bank,Y,19150.38,Callable,N,0.0,37636.062,Y,Y,,,,,,,,,,
