Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,BoFA,2026-04-26,I.A.1,USD,Y,SP-7,38848.912,46355.769,Day 60,28072.725,Day 20,S-6,Y,Available-for-Sale,Open,NULL,ENTITY-10,Prime Brokerage,2026-06-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-04-26,I.A.2,USD,N,SP-4,45633.663,4043.388,Day 34,30981.574,Day 20,S-2-Q,Y,Trading Asset,121 - 150 Days,FHLB,ENTITY-17,Markets,2026-05-30,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-04-26,I.A.3,USD,Y,SP-9,43860.687,40925.475,Day 30,0.0,,S-1,Y,Available-for-Sale,Open,Central Bank,ENTITY-20,Prime Brokerage,2026-05-26,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-04-26,I.A.4,USD,Y,SP-3,42310.435,40878.999,Day 12,0.0,,P-2,Y,Available-for-Sale,>4 Yr <= 5 Yr,NULL,ENTITY-20,Prime Brokerage,2026-05-08,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-04-26,I.A.5,USD,Y,SP-8,33660.151,47561.271,Day 51,42192.769,Day 35,IG-1,Y,Available-for-Sale,Day 1,NULL,ENTITY-20,Commercial Banking,2026-06-16,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-04-26,I.A.6,JPY,N,SP-6,37175.892,11919.35,Day 60,3974.336,Day 16,LC-1,Y,Trading Asset,Open,Derivatives,ENTITY-13,Retail Banking,2026-06-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,BoFA,2026-04-26,I.A.7,USD,Y,SP-5,45366.309,40894.173,Day 33,0.0,,CB-1,N,Held-to-Maturity,>4 Yr <= 5 Yr,NULL,ENTITY-03,Prime Brokerage,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-04-26,I.U.1,USD,Y,,,,Day 20,14887.318,Day 27,,,,>= 1 Yr <= 2 Yr,Derivatives,ENTITY-13,Prime Brokerage,2026-05-16,Retail,N,8004.032,Callable,Y,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-04-26,I.U.2,SGD,N,,,,Day 26,17174.962,Day 38,,,,>= 1 Yr <= 2 Yr,FHLB,,Commercial Banking,2026-05-22,Other Supervised Non-Bank Financial Entity,Y,6932.206,Callable,N,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,BoFA,2026-04-26,I.U.3,CHF,N,,,,Day 46,0.0,,,,,>3 Yr <= 4 Yr,Other,,Treasury,2026-06-11,Central Bank,Y,35762.526,Extendable,N,100.0,,,,,,,,,,,,,,,,,,
