Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-04-26,I.A.1,USD,Y,SP-4,24475.35,34558.416,Day 32,0.0,,IG-2,Y,Trading Asset,Day 90,Other,ENTITY-17,Prime Brokerage,2026-05-28,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-26,I.A.2,USD,Y,SP-6,36462.738,11575.191,Day 7,0.0,,S-6-Q,Y,Held-to-Maturity,91 - 120 Days,Central Bank,ENTITY-16,Markets,2026-05-03,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-26,I.A.3,CNY,N,SP-6,32572.404,9512.154,Day 13,12077.09,Day 43,S-7,N,Not Applicable,>2 Yr <= 3 Yr,Other,ENTITY-09,Markets,2026-05-09,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-26,I.A.4,USD,Y,SP-8,24527.235,11084.013,Day 28,0.0,,S-4-Q,N,Available-for-Sale,151 - 179 Days,Securities Lending,ENTITY-03,Markets,2026-05-24,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-26,I.A.5,EUR,N,SP-6,25454.978,27356.714,Day 14,0.0,,S-8,Y,Not Applicable,>2 Yr <= 3 Yr,Central Bank,ENTITY-15,Commercial Banking,2026-05-10,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-26,I.A.6,USD,N,SP-9,16762.323,35287.742,Day 47,28631.663,180 - 270 Days,S-8,Y,Trading Asset,>2 Yr <= 3 Yr,Central Bank,ENTITY-13,Wealth Management,2026-06-12,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-04-26,I.A.7,CNY,N,SP-5,20612.121,45144.416,Day 21,0.0,,IG-2,N,Available-for-Sale,91 - 120 Days,Central Bank,ENTITY-02,Wealth Management,2026-05-17,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-26,I.U.1,GBP,N,,,,Open,0.0,,,,,91 - 120 Days,FHLB,ENTITY-07,Markets,,Sovereign,Y,1494.352,Extendable,Y,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-26,I.U.2,CHF,N,,,,Day 14,0.0,,,,,Day 60,Repo,,Retail Banking,2026-05-10,Broker-Dealer,Y,17438.525,NULL,N,0.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-26,I.U.3,HKD,N,,,,Day 41,0.0,,,,,271 - 364 Days,Central Bank,ENTITY-16,Commercial Banking,2026-06-06,Small Business,Y,24188.457,Callable,Y,150.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-26,I.U.4,CNY,N,,,,121 - 150 Days,0.0,,,,,91 - 120 Days,Other,,Wealth Management,2026-08-27,Investment Company or Advisor,N,18123.357,Extendable,N,796.37,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-26,I.U.5,USD,Y,,,,Day 24,8038.189,Day 26,,,,Perpetual,Central Bank,,Wealth Management,2026-05-20,Broker-Dealer,Y,18560.269,NULL,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-26,I.U.6,USD,Y,,,,Day 25,0.0,,,,,91 - 120 Days,FHLB,,Wealth Management,2026-05-21,Debt Issuing SPE,Y,19368.975,NULL,N,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-26,I.U.7,USD,Y,,,,Day 6,0.0,,,,,>= 1 Yr <= 2 Yr,Securities Lending,,Wealth Management,2026-05-02,Other Supervised Non-Bank Financial Entity,N,9996.683,Extendable,N,830.9,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-04-26,I.U.8,USD,Y,,,,83 - 90 Days,0.0,,,,,Perpetual,NULL,,Retail Banking,2026-07-18,Broker-Dealer,N,12458.44,Puttable,N,50.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.1,USD,Y,SP-5,,,Day 46,0.0,,G-2-Q,N,,91 - 120 Days,NULL,ENTITY-05,Prime Brokerage,2026-06-11,Investment Company or Advisor,N,59029.31,NULL,Y,894.35,30326.921,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.2,GBP,N,SP-6,,,Day 12,2115.768,Day 21,A-1-Q,N,,Day 30,Central Bank,ENTITY-09,Treasury,2026-05-08,Investment Company or Advisor,Y,40208.034,Callable,Y,20.0,3464.7,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.3,USD,Y,SP-9,,,Day 18,0.0,,A-1-Q,N,,Day 60,Derivatives,ENTITY-15,Prime Brokerage,2026-05-14,Broker-Dealer,N,19893.268,NULL,Y,50.0,30390.775,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.4,USD,Y,SP-9,,,75 - 82 Days,4199.466,271 - 364 Days,A-1-Q,Y,,>5 Yr,Securities Lending,ENTITY-10,Prime Brokerage,2026-07-14,Broker-Dealer,N,17813.737,Callable,Y,20.0,54840.853,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.5,USD,Y,SP-8,,,Day 17,11572.838,Perpetual,G-2-Q,N,,Day 90,Derivatives,,Markets,2026-05-13,Broker-Dealer,Y,52422.127,NULL,N,0.0,36480.37,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.6,SGD,N,SP-5,,,Perpetual,0.0,,A-1-Q,Y,,>5 Yr,Repo,,Retail Banking,,Broker-Dealer,N,57891.499,Puttable,N,50.0,14828.064,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.7,USD,Y,SP-5,,,Day 50,0.0,,A-2-Q,N,,Open,Other,ENTITY-09,Prime Brokerage,2026-06-15,Bank,N,21958.06,Callable,Y,20.0,32334.216,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.8,USD,Y,SP-9,,,Day 35,0.0,,G-2-Q,N,,151 - 179 Days,FHLB,,Prime Brokerage,2026-05-31,Broker-Dealer,Y,55725.546,Puttable,N,0.0,31502.209,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.9,USD,Y,SP-2,,,Day 13,0.0,,A-1-Q,N,,Open,Repo,ENTITY-10,Wealth Management,2026-05-09,Broker-Dealer,Y,16206.623,Puttable,Y,20.0,3317.162,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-04-26,I.S.10,HKD,N,SP-2,,,Day 32,0.0,,CB-1-Q,Y,,>5 Yr,Derivatives,,Treasury,2026-05-28,Bank,N,48308.758,NULL,N,20.0,49531.334,Y,Y,,,,,,,,,,
Inflows,Other,Wells,2026-04-26,I.O.1,CAD,N,,,,Day 4,9756.215,Day 2,A-2-Q,Y,,,,ENTITY-05,Treasury,2026-04-30,Small Business,N,6571.349,,Y,,8273.933,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-26,I.O.2,USD,Y,,,,Day 41,0.0,,IG-2,Y,,,,,Markets,2026-06-06,PSE,Y,381.904,,N,,1414.888,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-26,I.O.3,USD,Y,,,,Day 58,0.0,,S-6,Y,,,,ENTITY-19,Retail Banking,2026-06-23,Other Supranational,Y,5228.256,,Y,,12913.068,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-26,I.O.4,USD,Y,,,,Day 42,13295.3,151 - 179 Days,A-1-Q,Y,,,,ENTITY-13,Commercial Banking,2026-06-07,Non-Financial Corporate,N,2090.677,,Y,,9945.451,,,,,,,,,,,,
Inflows,Other,Wells,2026-04-26,I.O.5,USD,Y,,,,Day 5,0.0,,S-6-Q,N,,,,,Markets,2026-05-01,Investment Company or Advisor,Y,9562.768,,N,,3150.859,,,,,,,,,,,,
