Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,USWest,2026-01-05,I.A.1,EUR,N,SP-2,24522519500000.0,15691826500000.0,Day 20,9743549500000.0,Day 30,G-2,N,Not Applicable,Day 30,Derivatives,ENTITY-02,Markets,2026-01-25,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-01-05,I.A.2,CAD,N,SP-7,5450625500000.0,8938865000000.0,75 - 82 Days,0.0,,S-4,Y,Available-for-Sale,151 - 179 Days,Derivatives,ENTITY-01,Wealth Management,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-01-05,I.A.3,AUD,N,SP-8,14064134000000.0,24158127500000.0,Day 19,0.0,,IG-1-Q,N,Trading Asset,121 - 150 Days,Securities Lending,ENTITY-20,Markets,2026-01-24,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-01-05,I.A.4,HKD,N,SP-4,1643052000000.0,16063908000000.0,Open,0.0,,P-2,Y,Not Applicable,Open,Repo,ENTITY-09,Markets,,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-01-05,I.A.5,USD,Y,SP-4,11209044500000.0,19855264000000.0,Day 22,0.0,,Z-1,Y,Trading Asset,91 - 120 Days,NULL,ENTITY-13,Commercial Banking,2026-01-27,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-01-05,I.A.6,USD,Y,SP-3,4870372000000.0,21729216500000.0,Day 2,0.0,,CB-4,N,Trading Asset,91 - 120 Days,Central Bank,ENTITY-11,Wealth Management,2026-01-07,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,USWest,2026-01-05,I.A.7,CHF,N,SP-7,4128943000000.0,21928411500000.0,Day 41,0.0,,S-5-Q,Y,Not Applicable,271 - 364 Days,NULL,ENTITY-11,Retail Banking,2026-02-15,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-01-05,I.U.1,USD,Y,,,,Day 18,0.0,,,,,Day 90,Other,,Retail Banking,2026-01-23,GSE,N,35940.533,Puttable,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-01-05,I.U.2,USD,N,,,,Day 3,0.0,,,,,>= 1 Yr <= 2 Yr,Derivatives,ENTITY-11,Retail Banking,2026-01-08,Other,N,31351.223,NULL,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-01-05,I.U.3,USD,Y,,,,Day 10,26460.829,Day 9,,,,Open,Securities Lending,,Markets,2026-01-15,Non-Financial Corporate,N,18444.863,Callable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-01-05,I.U.4,USD,N,,,,Day 43,0.0,,,,,Day 90,FHLB,,Commercial Banking,2026-02-17,Small Business,Y,24292.938,NULL,N,0.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-01-05,I.U.5,CHF,N,,,,Day 23,0.0,,,,,121 - 150 Days,NULL,,Prime Brokerage,2026-01-28,Central Bank,Y,46774.905,Extendable,N,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-01-05,I.U.6,USD,Y,,,,121 - 150 Days,31782.042,Day 9,,,,121 - 150 Days,Central Bank,ENTITY-11,Prime Brokerage,2026-05-14,Non-Regulated Fund,Y,7622.534,Callable,Y,50.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-01-05,I.U.7,USD,Y,,,,Day 12,0.0,,,,,Day 30,Repo,,Wealth Management,2026-01-17,Financial Market Utility,N,24272.685,Callable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,USWest,2026-01-05,I.U.8,AUD,N,,,,Day 35,0.0,,,,,151 - 179 Days,Securities Lending,,Treasury,2026-02-09,Sovereign,Y,21627.833,Extendable,N,484.94,,,,,,,,,,,,,,,,,,
Inflows,Secured,USWest,2026-01-05,I.S.1,USD,Y,SP-8,,,Day 49,0.0,,G-2-Q,N,,271 - 364 Days,Other,,Wealth Management,2026-02-23,Bank,Y,1345236000000.0,Extendable,N,100.0,1836867000000.0,N,N,,,,,,,,,,,,,,,
