Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference,MaturityAmountCurrency1,MaturityAmountCurrency2,ForeignExchangeOptionDirection,ForwardStartAmountCurrency1,ForwardStartAmountCurrency2
Inflows,Assets,Chase,2026-03-19,I.A.1,USD,Y,SP-7,37313.78,45454.475,Day 12,47385.374,Day 38,S-2,Y,Available-for-Sale,Perpetual,FHLB,ENTITY-03,Prime Brokerage,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-19,I.A.2,USD,Y,SP-4,24534.39,22258.213,Day 35,41994.068,Day 14,G-1-Q,Y,Not Applicable,180 - 270 Days,Other,ENTITY-03,Commercial Banking,2026-04-23,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-19,I.A.3,JPY,N,SP-8,11416.596,22205.861,Day 30,0.0,,E-1,Y,Not Applicable,Perpetual,Derivatives,ENTITY-02,Prime Brokerage,2026-04-18,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-19,I.A.4,JPY,N,SP-7,7670.301,25907.424,>4 Yr <= 5 Yr,0.0,,CB-3,Y,Trading Asset,>4 Yr <= 5 Yr,Other,ENTITY-20,Wealth Management,2030-10-27,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-19,I.A.5,CNY,N,SP-4,2371.787,24925.909,Day 56,23077.97,Day 10,S-2,N,Available-for-Sale,180 - 270 Days,NULL,ENTITY-14,Markets,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-19,I.A.6,HKD,N,SP-3,49564.138,35087.57,Day 11,0.0,,CB-3,N,Available-for-Sale,>2 Yr <= 3 Yr,Securities Lending,ENTITY-10,Treasury,2026-03-30,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Chase,2026-03-19,I.A.7,CAD,N,SP-1,1891.448,44287.325,Day 36,0.0,,A-0-Q,Y,Held-to-Maturity,271 - 364 Days,Central Bank,ENTITY-10,Wealth Management,2026-04-24,,,,,,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-19,I.U.1,USD,Y,,,,Day 2,0.0,,,,,>4 Yr <= 5 Yr,Repo,ENTITY-17,Wealth Management,2026-03-21,Non-Financial Corporate,N,14803.891,NULL,Y,294.1,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-19,I.U.2,JPY,N,,,,Open,0.0,,,,,Perpetual,Other,ENTITY-09,Wealth Management,,Non-Financial Corporate,Y,3332.392,NULL,Y,150.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-19,I.U.3,USD,Y,,,,Day 1,13784.218,Open,,,,151 - 179 Days,Derivatives,ENTITY-05,Retail Banking,2026-03-20,Other,Y,10029.306,NULL,Y,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-19,I.U.4,HKD,N,,,,Day 5,49790.12,Day 45,,,,Day 30,Derivatives,ENTITY-20,Prime Brokerage,2026-03-24,Retail,Y,10598.793,Extendable,Y,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-19,I.U.5,CHF,N,,,,Day 29,0.0,,,,,>5 Yr,Securities Lending,,Treasury,2026-04-17,Other Supranational,Y,45776.551,Callable,N,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-19,I.U.6,USD,Y,,,,Day 43,2472.517,Day 8,,,,>2 Yr <= 3 Yr,Central Bank,ENTITY-09,Retail Banking,2026-05-01,Other,N,34249.44,Callable,Y,20.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-19,I.U.7,AUD,N,,,,121 - 150 Days,21143.048,>= 1 Yr <= 2 Yr,,,,180 - 270 Days,Derivatives,ENTITY-14,Commercial Banking,2026-07-31,Broker-Dealer,Y,17836.619,NULL,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Chase,2026-03-19,I.U.8,CNY,N,,,,Day 21,37497.975,Day 20,,,,121 - 150 Days,Central Bank,ENTITY-17,Treasury,2026-04-09,Small Business,N,29576.862,Puttable,Y,100.0,,,,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.1,AUD,N,SP-6,,,Day 18,0.0,,A-1-Q,N,,Perpetual,Other,,Wealth Management,2026-04-06,Bank,N,15265.895,Callable,N,50.0,21007.806,Y,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.2,USD,Y,SP-3,,,Day 48,25913.61,Day 54,A-1-Q,Y,,Day 90,Securities Lending,ENTITY-09,Commercial Banking,2026-05-06,Bank,N,16361.869,NULL,Y,50.0,33627.978,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.3,CHF,N,SP-4,,,Day 18,6803.903,>2 Yr <= 3 Yr,CB-1-Q,Y,,Perpetual,Other,,Markets,2026-04-06,Bank,Y,4991.394,Callable,N,20.0,21018.596,N,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.4,CHF,N,SP-5,,,61 - 67 Days,0.0,,G-1-Q,Y,,>= 1 Yr <= 2 Yr,Repo,ENTITY-18,Retail Banking,2026-05-21,Bank,N,38276.503,Puttable,Y,0.0,48660.101,N,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.5,USD,Y,SP-1,,,91 - 120 Days,54373.958,Day 43,A-1-Q,N,,Perpetual,Derivatives,,Prime Brokerage,2026-06-29,Broker-Dealer,N,39838.865,Callable,N,100.0,8099.25,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.6,USD,Y,SP-4,,,Day 54,0.0,,A-1-Q,Y,,151 - 179 Days,FHLB,ENTITY-15,Commercial Banking,2026-05-12,Bank,Y,32417.064,Extendable,Y,0.0,52075.495,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.7,AUD,N,SP-8,,,Day 21,0.0,,CB-1-Q,N,,Day 1,NULL,,Treasury,2026-04-09,Bank,N,54778.134,NULL,N,50.0,30663.402,N,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.8,CAD,N,SP-6,,,Day 38,0.0,,G-1-Q,Y,,>4 Yr <= 5 Yr,Repo,,Retail Banking,2026-04-26,Broker-Dealer,Y,20188.736,Callable,N,150.0,291.533,N,N,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.9,CAD,N,SP-4,,,Day 15,0.0,,A-1-Q,Y,,Day 30,Other,,Treasury,2026-04-03,Bank,Y,55865.1,Callable,N,0.0,41967.623,Y,Y,,,,,,,,,,,,,,,
Inflows,Secured,Chase,2026-03-19,I.S.10,USD,Y,SP-6,,,Day 48,0.0,,A-1-Q,Y,,>5 Yr,NULL,ENTITY-15,Retail Banking,2026-05-06,Bank,Y,40271.609,Extendable,Y,20.0,4260.504,Y,Y,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.1,JPY,N,,,,Day 41,0.0,,S-3,Y,,,,ENTITY-10,Treasury,2026-04-29,PSE,N,26160.919,,Y,,7038.046,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.2,CNY,N,,,,Day 47,0.0,,IG-1-Q,Y,,,,,Markets,2026-05-05,Broker-Dealer,Y,35662.494,,N,,19348.362,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.3,SGD,N,,,,Day 7,0.0,,A-1-Q,N,,,,ENTITY-08,Commercial Banking,2026-03-26,GSE,Y,32857.221,,Y,,39391.795,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.4,CHF,N,,,,Day 11,0.0,,S-4,N,,,,ENTITY-02,Retail Banking,2026-03-30,Other Supervised Non-Bank Financial Entity,Y,34878.504,,Y,,20419.681,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.5,GBP,N,,,,Day 20,8981.668,Day 6,CB-2,N,,,,,Retail Banking,2026-04-08,Central Bank,Y,4792.008,,N,,4901.578,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.6,USD,Y,,,,Day 49,0.0,,G-3,N,,,,,Prime Brokerage,2026-05-07,Sovereign,Y,16787.435,,N,,42432.19,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.7,USD,Y,,,,Day 34,0.0,,CB-2,N,,,,ENTITY-03,Wealth Management,2026-04-22,Non-Regulated Fund,Y,22075.43,,Y,,26192.298,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.8,USD,Y,,,,151 - 179 Days,0.0,,A-4,N,,,,,Commercial Banking,2026-09-04,MDB,Y,31381.724,,N,,34415.993,,,,,,,,,,,,,,,,,
Inflows,Other,Chase,2026-03-19,I.O.9,USD,Y,,,,Day 51,11604.473,Day 6,S-4-Q,N,,,,,Retail Banking,2026-05-09,Non-Regulated Fund,Y,1535.58,,N,,4029.61,,,,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.1,USD,Y,,,,>4 Yr <= 5 Yr,0.0,,CB-4,,,,,ENTITY-05,Treasury,2031-02-21,Broker-Dealer,N,52437.023,Extendable,Y,,8603.21,,,TLAC,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.2,AUD,N,,,,68 - 74 Days,0.0,,A-2,,,,,,Markets,2026-05-27,Bank,Y,33514.8,NULL,N,,7811.987,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.3,USD,Y,,,,Day 59,0.0,,A-5-Q,,,,,,Prime Brokerage,2026-05-17,Non-Financial Corporate,Y,20711.084,Callable,N,,45810.491,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.4,USD,N,,,,Day 59,0.0,,IG-2-Q,,,,,,Wealth Management,2026-05-17,Broker-Dealer,Y,45432.688,Puttable,N,,33685.142,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.5,CHF,N,,,,Day 22,0.0,,E-2,,,,,ENTITY-15,Markets,2026-04-10,Broker-Dealer,N,26787.431,Callable,Y,,48416.413,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.6,USD,Y,,,,Day 16,0.0,,E-1-Q,,,,,ENTITY-11,Commercial Banking,2026-04-04,Broker-Dealer,Y,5833.928,Callable,Y,,15994.662,,,TLAC,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.7,USD,N,,,,Day 25,0.0,,A-1-Q,,,,,ENTITY-04,Wealth Management,2026-04-13,Non-Financial Corporate,Y,3702.12,Puttable,Y,,41763.709,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.8,USD,Y,,,,83 - 90 Days,24664.937,Day 13,IG-2-Q,,,,,ENTITY-08,Prime Brokerage,2026-06-12,Broker-Dealer,Y,20806.449,Extendable,Y,,7497.796,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.9,USD,Y,,,,Day 18,0.0,,S-3-Q,,,,,ENTITY-14,Markets,2026-04-06,Bank,N,35917.636,Callable,Y,,34614.727,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.10,USD,Y,,,,Day 9,0.0,,G-1-Q,,,,,ENTITY-19,Retail Banking,2026-03-28,Bank,Y,54631.849,NULL,Y,,21924.697,,,TLAC,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.11,GBP,N,,,,61 - 67 Days,0.0,,S-3-Q,,,,,,Commercial Banking,2026-05-22,Non-Financial Corporate,N,2432.827,Extendable,N,,51023.319,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.12,HKD,N,,,,83 - 90 Days,0.0,,CB-1,,,,,,Commercial Banking,2026-06-16,Non-Financial Corporate,N,49926.078,Extendable,N,,17844.611,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.13,USD,Y,,,,Day 12,0.0,,S-7-Q,,,,,ENTITY-05,Prime Brokerage,2026-03-31,Bank,Y,46670.658,Extendable,Y,,42591.35,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.14,USD,Y,,,,Day 25,0.0,,A-3-Q,,,,,,Wealth Management,2026-04-13,Bank,N,7129.876,Puttable,N,,22898.656,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.15,USD,Y,,,,Day 24,0.0,,C-1,,,,,ENTITY-04,Markets,2026-04-12,Non-Financial Corporate,N,3667.638,NULL,Y,,12859.927,,,TLAC,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.16,EUR,N,,,,Day 47,0.0,,IG-2-Q,,,,,,Wealth Management,2026-05-05,Bank,N,52579.696,Callable,N,,32119.485,,,TLAC,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.17,USD,Y,,,,180 - 270 Days,11595.59,Day 58,IG-2-Q,,,,,ENTITY-18,Wealth Management,2026-10-01,Broker-Dealer,N,18376.792,NULL,Y,,9203.543,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.18,USD,Y,,,,151 - 179 Days,0.0,,S-5,,,,,ENTITY-05,Commercial Banking,2026-09-13,Broker-Dealer,N,47746.326,Puttable,Y,,52701.288,,,Capital,,,,,,,,,,,,,,
Outflows,Wholesale,Chase,2026-03-19,O.W.19,AUD,N,,,,Day 44,0.0,,A-3,,,,,ENTITY-15,Treasury,2026-05-02,Bank,N,23510.677,Extendable,Y,,1336.664,,,TLAC,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.1,USD,Y,SP-4,,,Day 57,20051.208,Day 19,CB-1-Q,Y,,,,,Retail Banking,2026-05-15,Debt Issuing SPE,N,48119.39,Extendable,N,,25286.136,,N,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.2,HKD,N,SP-4,,,Day 53,0.0,,G-1-Q,Y,,,,ENTITY-11,Commercial Banking,2026-05-11,GSE,N,23945.753,Extendable,Y,,7769.097,,Y,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.3,USD,Y,SP-9,,,Day 39,0.0,,A-1-Q,N,,,,,Markets,2026-04-27,Financial Market Utility,N,36274.648,Extendable,N,,23145.913,,Y,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.4,USD,Y,SP-7,,,>5 Yr,0.0,,G-1-Q,N,,,,ENTITY-11,Treasury,2033-09-21,Broker-Dealer,Y,38371.565,Extendable,Y,,49636.477,,Y,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.5,USD,Y,SP-3,,,Day 35,0.0,,CB-1-Q,N,,,,ENTITY-14,Markets,2026-04-23,Broker-Dealer,Y,24468.783,NULL,Y,,45659.667,,Y,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.6,GBP,N,SP-5,,,Day 21,0.0,,CB-1-Q,Y,,,,ENTITY-10,Treasury,2026-04-09,Pension Fund,N,45812.464,Extendable,Y,,40537.117,,N,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.7,USD,Y,SP-4,,,Day 33,38453.381,Day 28,CB-1-Q,N,,,,,Commercial Banking,2026-04-21,Investment Company or Advisor,N,35249.628,Extendable,N,,19814.55,,Y,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.8,EUR,N,SP-6,,,Day 45,0.0,,G-1-Q,Y,,,,ENTITY-13,Treasury,2026-05-03,Debt Issuing SPE,N,1414.24,Extendable,Y,,2448.304,,Y,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.9,HKD,N,SP-3,,,Day 12,0.0,,A-1-Q,N,,,,ENTITY-06,Commercial Banking,2026-03-31,Financial Market Utility,N,32249.86,Extendable,Y,,23495.669,,Y,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.10,USD,Y,SP-9,,,Day 34,0.0,,A-1-Q,N,,,,,Commercial Banking,2026-04-22,Sovereign,N,46616.439,Puttable,N,,30316.851,,Y,,,,,,,,,,,,,,,
Outflows,Secured,Chase,2026-03-19,O.S.11,USD,Y,SP-7,,,Day 29,15570.725,Day 28,A-1-Q,N,,,,,Prime Brokerage,2026-04-17,Other Supervised Non-Bank Financial Entity,N,9818.08,Puttable,N,,39974.291,,Y,,,,,,,,,,,,,,,
