Table,SubTable,ReportingEntity,ReportDate,Product,Currency,Converted,SubProduct,MarketValue,LendableValue,MaturityBucket,ForwardStartAmount,ForwardStartBucket,CollateralClass,TreasuryControl,AccountingDesignation,EffectiveMaturityBucket,EncumbranceType,InternalCounterparty,BusinessLine,MaturityDate,Counterparty,GSIB,MaturityAmount,MaturityOptionality,Internal,RiskWeight,CollateralValue,Unencumbered,Settlement,LossAbsorbency,Insured,Trigger,Rehypothecated,SubProduct2,CollateralLevel,NettingEligible,CollectionReference,ProductReference,SubProductReference
Inflows,Assets,Wells,2026-02-05,I.A.1,GBP,N,SP-1,16102.993,23538.083,Day 24,34906.222,Day 27,Z-1,N,Available-for-Sale,Day 90,Other,ENTITY-13,Wealth Management,2026-03-01,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-02-05,I.A.2,USD,Y,SP-1,23240.975,30785.35,Day 4,0.0,,G-3-Q,Y,Held-to-Maturity,Day 30,Derivatives,ENTITY-08,Commercial Banking,2026-02-09,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-02-05,I.A.3,USD,Y,SP-3,23312.729,44351.054,Day 13,0.0,,IG-1,Y,Held-to-Maturity,>5 Yr,Other,ENTITY-07,Wealth Management,2026-02-18,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-02-05,I.A.4,USD,Y,SP-1,4464.193,13660.325,Day 55,0.0,,S-7,N,Trading Asset,91 - 120 Days,Other,ENTITY-11,Commercial Banking,2026-04-01,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-02-05,I.A.5,SGD,N,SP-3,30160.644,34360.969,Day 5,30696.691,>3 Yr <= 4 Yr,CB-4,Y,Available-for-Sale,271 - 364 Days,FHLB,ENTITY-05,Wealth Management,2026-02-10,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-02-05,I.A.6,USD,Y,SP-1,33913.114,13134.115,Day 35,0.0,,S-2,Y,Available-for-Sale,271 - 364 Days,Other,ENTITY-15,Prime Brokerage,2026-03-12,,,,,,,,,,,,,,,,,,,
Inflows,Assets,Wells,2026-02-05,I.A.7,AUD,N,SP-7,27969.776,20401.322,Day 44,0.0,,S-3,N,Held-to-Maturity,Day 60,FHLB,ENTITY-20,Prime Brokerage,2026-03-21,,,,,,,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-02-05,I.U.1,AUD,N,,,,Day 27,0.0,,,,,Day 90,FHLB,,Markets,2026-03-04,Non-Regulated Fund,Y,9253.903,Callable,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-02-05,I.U.2,EUR,N,,,,Day 14,24367.649,Day 48,,,,>2 Yr <= 3 Yr,Derivatives,,Commercial Banking,2026-02-19,MDB,Y,16514.183,NULL,N,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-02-05,I.U.3,EUR,N,,,,Day 49,0.0,,,,,151 - 179 Days,Repo,ENTITY-16,Prime Brokerage,2026-03-26,Non-Regulated Fund,Y,23069.412,NULL,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-02-05,I.U.4,USD,Y,,,,Day 10,4922.686,Day 7,,,,271 - 364 Days,Repo,,Retail Banking,2026-02-15,GSE,Y,11245.392,Puttable,N,50.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-02-05,I.U.5,USD,Y,,,,Day 21,0.0,,,,,121 - 150 Days,Securities Lending,,Prime Brokerage,2026-02-26,Bank,N,4563.958,Extendable,N,100.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-02-05,I.U.6,USD,Y,,,,>2 Yr <= 3 Yr,0.0,,,,,Open,Central Bank,ENTITY-02,Prime Brokerage,2028-10-05,Pension Fund,N,347.795,Callable,Y,402.59,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-02-05,I.U.7,CAD,N,,,,Day 54,0.0,,,,,>2 Yr <= 3 Yr,FHLB,ENTITY-07,Wealth Management,2026-03-31,Financial Market Utility,N,19246.0,Puttable,Y,20.0,,,,,,,,,,,,,
Inflows,Unsecured,Wells,2026-02-05,I.U.8,USD,Y,,,,Day 40,16652.73,271 - 364 Days,,,,Day 1,Other,,Wealth Management,2026-03-17,Other Supervised Non-Bank Financial Entity,Y,10748.972,Extendable,N,0.0,,,,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.1,SGD,N,SP-9,,,Day 57,0.0,,CB-1-Q,N,,Day 90,Securities Lending,,Wealth Management,2026-04-03,Bank,N,19171.303,Puttable,N,150.0,1140.074,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.2,USD,Y,SP-4,,,Day 50,0.0,,G-2-Q,N,,Open,Securities Lending,,Prime Brokerage,2026-03-27,Broker-Dealer,Y,26781.145,Puttable,N,50.0,24072.066,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.3,USD,Y,SP-4,,,Day 8,0.0,,A-2-Q,N,,>3 Yr <= 4 Yr,Derivatives,ENTITY-19,Treasury,2026-02-13,Broker-Dealer,Y,53850.577,NULL,Y,738.8,56681.621,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.4,USD,Y,SP-4,,,Day 43,0.0,,CB-1-Q,N,,Open,Repo,ENTITY-13,Commercial Banking,2026-03-20,Broker-Dealer,Y,41967.818,NULL,Y,100.0,52966.396,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.5,CHF,N,SP-6,,,Day 22,0.0,,A-1-Q,N,,151 - 179 Days,NULL,ENTITY-18,Treasury,2026-02-27,Investment Company or Advisor,N,50686.121,Puttable,Y,50.0,52848.756,N,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.6,USD,Y,SP-9,,,Day 16,20040.713,83 - 90 Days,A-2-Q,N,,>3 Yr <= 4 Yr,Central Bank,ENTITY-01,Treasury,2026-02-21,Bank,Y,11437.793,Callable,Y,0.0,21189.11,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.7,USD,Y,SP-4,,,Day 4,0.0,,A-1-Q,N,,Day 30,NULL,ENTITY-15,Markets,2026-02-09,Other Supervised Non-Bank Financial Entity,Y,5469.839,Puttable,Y,100.0,36970.955,Y,N,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.8,USD,Y,SP-1,,,Day 13,41269.804,Day 20,A-1-Q,Y,,>2 Yr <= 3 Yr,Central Bank,ENTITY-07,Prime Brokerage,2026-02-18,Bank,Y,46831.176,Extendable,Y,1178.02,18224.3,Y,Y,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.9,USD,Y,SP-4,,,>3 Yr <= 4 Yr,0.0,,A-1-Q,N,,180 - 270 Days,FHLB,,Markets,2029-11-16,Investment Company or Advisor,Y,33748.457,Extendable,N,0.0,35069.137,N,N,,,,,,,,,,
Inflows,Secured,Wells,2026-02-05,I.S.10,USD,N,SP-7,,,Day 50,0.0,,A-1-Q,N,,Day 60,Securities Lending,ENTITY-17,Wealth Management,2026-03-27,Investment Company or Advisor,N,14858.597,Puttable,Y,0.0,47476.489,N,N,,,,,,,,,,
Inflows,Other,Wells,2026-02-05,I.O.1,USD,Y,,,,Day 17,0.0,,A-4-Q,Y,,,,,Prime Brokerage,2026-02-22,PSE,Y,4018.914,,N,,7192.345,,,,,,,,,,,,
Inflows,Other,Wells,2026-02-05,I.O.2,CHF,N,,,,Day 56,14999.224,Day 11,S-8,N,,,,,Markets,2026-04-02,Investment Company or Advisor,Y,13575.219,,N,,10736.053,,,,,,,,,,,,
Inflows,Other,Wells,2026-02-05,I.O.3,USD,Y,,,,61 - 67 Days,8687.282,Day 5,LC-2,N,,,,,Retail Banking,2026-04-11,MDB,Y,10838.148,,N,,2256.368,,,,,,,,,,,,
